model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
ridge#2,-0.41172,-1000.369231,-2.582389,-1.0,-0.449771
ridge#1,-0.41981,0.0,-2.666662,,-0.457809
pcr#2,-0.457527,0.0,-2.445956,,-0.455605
pcr#1,-0.457527,0.0,-2.445956,,-0.455605
L-En,-0.600083,-8065.969231,-2.482753,-1.450953,-0.607768
pls#2,-0.784904,-12098.953846,-2.072316,-1.825742,-0.872312
lgbm_gbdt#2,-0.858697,0.0,-1.385324,,-0.875628
lasso#2,-0.987542,0.0,-3.392863,,-1.016253
lasso#1,-0.993556,-35607.221169,-3.397024,-1.626978,-1.022408
elasticnet#1,-1.028806,-16131.938462,-3.42141,-1.0,-1.05853
elasticnet#2,-1.157142,-16131.938462,-3.505642,-1.0,-1.189746
pls#1,-1.482596,-20290.953846,-2.605484,-1.23298,-1.504438
lgbm_gbdt#1,-2.007764,0.0,-2.951816,,-2.012896
ffn#2,-2.450962,0.0,-5.253655,,-2.451024
ffn#1,-2.482124,0.0,-5.226263,,-2.48233
N-En,-2.745819,-129055.507692,-4.455461,-1.450953,-2.751534
lgbm_dart#1,-4.320533,-4159.015385,-2.042095,-1.0,-4.369373
rf#1,-5.116789,-258111.015385,-5.649415,-1.0,-5.116321
rf#2,-5.116789,0.0,-5.649415,,-5.116321
lgbm_dart#2,-5.391752,0.0,-1.798624,,-5.400865
