model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
ridge#2,-0.449771,,-2.582389,,-0.449771,-0.449771
pcr#2,-0.455605,,-2.445956,,-0.455605,-0.455605
pcr#1,-0.455605,,-2.445956,,-0.455605,-0.455605
ridge#1,-0.457809,,-2.666662,,-0.457809,-0.457809
L-En,-0.607768,,-2.482753,,-0.607768,-0.607768
pls#2,-0.872312,,-2.072316,,-0.872312,-0.872312
lgbm_gbdt#2,-0.875628,,-1.385324,,-0.875628,-0.875628
lasso#2,-1.016253,,-3.392863,,-1.016253,-1.016253
lasso#1,-1.022408,,-3.397024,,-1.022408,-1.022408
elasticnet#1,-1.05853,,-3.42141,,-1.05853,-1.05853
elasticnet#2,-1.189746,,-3.505642,,-1.189746,-1.189746
pls#1,-1.504438,,-2.605484,,-1.504438,-1.504438
lgbm_gbdt#1,-2.012896,,-2.951816,,-2.012896,-2.012896
ffn#2,-2.451024,,-5.253655,,-2.451024,-2.451024
ffn#1,-2.48233,,-5.226263,,-2.48233,-2.48233
N-En,-2.751534,,-4.455461,,-2.751534,-2.751534
lgbm_dart#1,-4.369373,,-2.042095,,-4.369373,-4.369373
rf#1,-5.116321,,-5.649415,,-5.116321,-5.116321
rf#2,-5.116321,,-5.649415,,-5.116321,-5.116321
lgbm_dart#2,-5.400865,,-1.798624,,-5.400865,-5.400865
