model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,10,1.692763,2.233204,2.396999,0.9
N-En,10,1.671252,2.210022,2.391363,0.9
elasticnet#1,10,1.665843,2.235802,2.356138,0.9
elasticnet#2,10,1.665843,2.235802,2.356138,0.9
ffn#1,10,1.584564,2.123648,2.35954,0.9
ffn#2,10,1.558735,2.073432,2.377292,0.9
lasso#1,10,1.667566,2.234388,2.360068,0.9
lasso#2,10,1.667196,2.248182,2.345066,0.9
lgbm_dart#1,10,1.655017,2.20629,2.372137,0.9
lgbm_dart#2,10,1.668849,2.232356,2.364033,0.9
lgbm_gbdt#1,10,1.664481,2.220709,2.370213,0.9
lgbm_gbdt#2,10,1.645248,2.226201,2.337046,0.8
pcr#1,10,-1.442271,2.056421,-2.217864,0.3
pcr#2,10,-1.442271,2.056421,-2.217864,0.3
pls#1,10,1.678762,2.167134,2.449646,1.0
pls#2,10,1.622798,2.282287,2.248507,0.8
rf#1,10,1.639367,2.209956,2.345808,0.8
rf#2,10,1.39661,2.106273,2.096818,0.7
ridge#1,10,1.657323,2.225871,2.354545,0.9
ridge#2,10,1.657323,2.225871,2.354545,0.9
