model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#2,0.223111,0.064924,1.06422,0.981394,0.210964
pls#2,0.19324,0.102728,1.132314,1.163979,0.156898
lgbm_dart#1,0.192636,0.065614,1.056,0.989493,0.206185
lgbm_gbdt#1,0.185094,0.088305,1.094737,1.025526,0.176674
N-En,0.179802,0.083647,1.084419,1.02656,0.173894
pls#1,0.168074,0.108859,1.080727,1.235317,0.172059
rf#1,0.166961,0.104399,1.064506,1.045194,0.182618
L-En,0.166115,0.078902,1.250606,0.134055,0.122219
lgbm_dart#2,0.163748,0.063885,1.104928,1.027182,0.152834
rf#2,0.163449,0.081219,1.07554,1.019858,0.172363
lasso#2,0.157697,0.077689,1.253356,0.185391,0.125419
lasso#1,0.157305,0.077511,1.254411,0.185796,0.124979
elasticnet#1,0.151714,0.072318,1.267294,0.169358,0.116316
elasticnet#2,0.149738,0.072004,1.268358,0.328405,0.115994
pcr#1,0.120102,0.060475,1.277192,-0.377424,0.099745
pcr#2,0.120102,0.060475,1.277192,-0.377424,0.099745
ffn#1,-0.027268,0.059973,0.89067,1.040934,0.073969
ffn#2,-0.068603,0.060226,0.846404,1.033613,0.058462
ridge#1,-0.363766,0.028867,-0.457221,-0.843395,-0.081865
ridge#2,-0.368635,0.028143,-0.462975,-0.845647,-0.083576
