model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,13,3.319086,4.086109,2.928737,0.846154
N-En,13,3.206153,3.995619,2.893156,0.769231
elasticnet#1,13,3.214793,4.299669,2.695812,0.769231
elasticnet#2,13,3.347425,4.331066,2.786684,0.769231
ffn#1,13,3.452695,4.210421,2.95668,0.769231
ffn#2,13,3.365458,3.877852,3.129138,0.846154
lasso#1,13,3.26848,4.297519,2.742204,0.769231
lasso#2,13,3.358299,4.322858,2.801045,0.769231
lgbm_dart#1,13,3.24898,4.101144,2.856365,0.769231
lgbm_dart#2,13,3.19405,4.013678,2.869267,0.769231
lgbm_gbdt#1,13,3.020666,3.702773,2.941354,0.769231
lgbm_gbdt#2,13,3.21569,4.136377,2.803016,0.769231
pcr#1,13,-2.013037,3.265254,-2.222831,0.384615
pcr#2,13,-2.013037,3.265254,-2.222831,0.384615
pls#1,13,3.338987,3.847018,3.129408,0.769231
pls#2,13,3.402774,4.121512,2.97679,0.769231
rf#1,13,2.846132,3.746749,2.738875,0.692308
rf#2,13,3.149425,3.757216,3.022294,0.769231
ridge#1,13,2.733479,3.751628,2.627046,0.846154
ridge#2,13,2.733479,3.751628,2.627046,0.846154
