model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_dart#1,0.650788,,0.814993,,0.650788,0.650788
lgbm_dart#2,0.605322,,0.833975,,0.605322,0.605322
lgbm_gbdt#2,0.582604,,0.852044,,0.582604,0.582604
lgbm_gbdt#1,0.570804,,0.949976,,0.570804,0.570804
N-En,0.464228,,0.719535,,0.464228,0.464228
rf#1,0.109013,,0.280319,,0.109013,0.109013
rf#2,0.076149,,0.2528,,0.076149,0.076149
lasso#1,-0.066847,,-0.14845,,-0.066847,-0.066847
lasso#2,-0.067406,,-0.149529,,-0.067406,-0.067406
L-En,-0.081523,,-0.159738,,-0.081523,-0.081523
elasticnet#1,-0.081855,,-0.178087,,-0.081855,-0.081855
elasticnet#2,-0.092161,,-0.195079,,-0.092161,-0.092161
ffn#2,-0.155672,,-0.219286,,-0.155672,-0.155672
pcr#2,-0.361184,,-1.715656,,-0.361184,-0.361184
pcr#1,-0.361184,,-1.715656,,-0.361184,-0.361184
pls#1,-0.564409,,-2.853327,,-0.564409,-0.564409
ffn#1,-0.802146,,-0.682822,,-0.802146,-0.802146
ridge#1,-1.186391,,-0.997046,,-1.186391,-1.186391
ridge#2,-1.216597,,-1.013194,,-1.216597,-1.216597
pls#2,-5.245285,,-3.132741,,-5.245285,-5.245285
