model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#1,0.524507,,0.949976,-2.236068,0.570804
lgbm_dart#1,0.516992,,0.814993,-1.06486,0.650788
lgbm_dart#2,0.459683,,0.833975,-1.0,0.605322
lgbm_gbdt#2,0.453824,,0.852044,-1.648672,0.582604
N-En,0.357355,,0.719535,-1.130311,0.464228
rf#1,-0.086164,,0.280319,-1.46385,0.109013
rf#2,-0.088912,,0.2528,-1.0,0.076149
lasso#1,-0.407127,,-0.14845,-1.0,-0.066847
lasso#2,-0.408362,,-0.149529,,-0.067406
elasticnet#1,-0.436505,,-0.178087,,-0.081855
ffn#2,-0.439792,,-0.219286,,-0.155672
L-En,-0.455716,,-0.159738,-1.662105,-0.081523
elasticnet#2,-0.461463,,-0.195079,-1.0,-0.092161
pcr#2,-0.517309,,-1.715656,-1.06486,-0.361184
pcr#1,-0.51731,,-1.715656,-1.514782,-0.361184
pls#1,-0.798366,,-2.853327,-1.0,-0.564409
ffn#1,-1.32176,,-0.682822,,-0.802146
ridge#1,-2.619975,,-0.997046,-1.06486,-1.186391
ridge#2,-2.675602,,-1.013194,-1.0,-1.216597
pls#2,-9.211417,,-3.132741,-1.860521,-5.245285
