model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
ffn#2,0.100601,0.079507,0.98899,1.099373,0.102142,0.100601
ffn#1,0.100441,0.079752,0.988942,1.099179,0.101981,0.100441
rf#1,0.098086,0.094037,1.066623,1.149724,0.096828,0.098086
lgbm_dart#2,0.091061,0.085787,0.961532,0.975149,0.093849,0.091061
pls#2,0.089881,0.072756,0.957148,1.095918,0.092789,0.089881
N-En,0.086547,0.082817,1.026261,1.093914,0.086856,0.086547
lgbm_gbdt#1,0.079225,0.07572,1.025822,1.098685,0.07963,0.079225
pls#1,0.077942,0.061556,0.910412,1.098585,0.08252,0.077942
lgbm_dart#1,0.075196,0.062311,0.975769,1.055474,0.077329,0.075196
rf#2,0.072489,0.070871,1.071361,1.154491,0.071571,0.072489
lgbm_gbdt#2,0.061378,0.105649,1.021908,1.055028,0.06199,0.061378
L-En,0.044328,0.037273,1.062772,1.1008,0.043803,0.044328
elasticnet#2,0.040147,0.024974,1.07029,1.094878,0.03945,0.040147
lasso#2,0.036967,0.023021,1.077471,1.099881,0.036248,0.036967
lasso#1,0.036807,0.022913,1.077711,1.099952,0.036088,0.036807
elasticnet#1,0.034495,0.021372,1.077259,1.095679,0.033806,0.034495
ridge#1,0.030095,0.046165,1.075974,1.083712,0.029635,0.030095
ridge#2,0.03,0.046362,1.076017,1.082741,0.029541,0.03
pcr#1,0.022246,0.025542,1.137372,1.113057,0.021498,0.022246
pcr#2,0.022246,0.025542,1.137372,1.113057,0.021498,0.022246
