model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_dart#1,0.184246,0.078285,1.944361,1.535667,0.148324,0.184246
pls#1,0.182538,0.075284,1.84548,1.687286,0.158281,0.182538
rf#2,0.169852,0.067962,2.07156,1.503691,0.154589,0.169852
rf#1,0.165117,0.062894,2.033882,1.553305,0.14296,0.165117
ffn#1,0.163933,0.098266,1.392252,1.510173,0.161108,0.163933
ffn#2,0.161066,0.098574,1.363432,1.49786,0.158196,0.161066
pls#2,0.158082,0.076798,1.758397,1.685219,0.145806,0.158082
N-En,0.156405,0.070391,2.048371,1.637144,0.140572,0.156405
lgbm_dart#2,0.123182,0.05626,2.192594,1.627983,0.101043,0.123182
L-En,0.108138,0.048841,2.068333,1.983887,0.098631,0.108138
pcr#1,0.096369,0.022169,1.810783,2.083514,0.076594,0.096369
pcr#2,0.096369,0.022169,1.810783,2.083514,0.076594,0.096369
ridge#2,0.095423,0.057425,2.077458,1.928528,0.094264,0.095423
ridge#1,0.094665,0.056652,2.072485,1.930405,0.093786,0.094665
lgbm_gbdt#2,0.087955,0.032115,2.206796,1.067615,0.07357,0.087955
lgbm_gbdt#1,0.087928,0.03213,2.206739,1.065562,0.073542,0.087928
lasso#2,0.080069,0.039323,2.029341,2.03875,0.075207,0.080069
lasso#1,0.080042,0.039287,2.029476,2.038786,0.075174,0.080042
elasticnet#2,0.078936,0.04004,2.038846,2.037863,0.074885,0.078936
elasticnet#1,0.075978,0.040155,2.05449,2.035404,0.0735,0.075978
