model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
N-En,0.04397,0.062595,0.433018,1.678877,0.167072
lgbm_dart#1,0.039719,0.048364,0.346444,1.586703,0.138629
rf#2,0.03686,0.045169,0.817144,1.345886,0.16292
rf#1,0.036265,0.034952,0.998498,1.039949,0.15175
lgbm_gbdt#2,0.034167,0.064808,-0.308057,1.753204,0.155046
lgbm_dart#2,0.029668,0.048258,-0.205252,1.442335,0.153843
L-En,0.01611,0.030874,-0.089461,1.610551,0.079947
elasticnet#1,0.009069,0.02842,0.250864,1.676138,0.059932
lasso#2,0.007192,0.024743,0.035069,1.513865,0.065884
elasticnet#2,0.007025,0.027328,0.138254,1.602897,0.060758
lasso#1,0.006751,0.025465,0.054581,1.533724,0.063523
lgbm_gbdt#1,0.00256,0.039636,-0.398105,0.983157,0.198377
pcr#1,-0.002041,-0.000453,-0.518302,-2.571995,-0.004118
pcr#2,-0.002041,-0.000453,-0.518303,-2.571993,-0.004118
ridge#1,-0.030803,0.040789,-0.773736,1.665316,0.070156
ridge#2,-0.031342,0.040862,-0.7827,1.664906,0.070287
ffn#2,-0.035272,0.059242,-0.351105,1.290202,0.160175
ffn#1,-0.03684,0.058583,-0.353506,1.271319,0.161179
pls#2,-0.129632,-0.025736,-1.390734,-0.455873,0.160019
pls#1,-0.131718,-0.021497,-1.358097,-0.221997,0.169332
