model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
ridge#2,-0.462311,,-2.262658,,-0.462311,-0.462311
ridge#1,-0.465674,,-2.303311,,-0.465674,-0.465674
elasticnet#2,-0.532331,,-4.141236,,-0.532331,-0.532331
elasticnet#1,-0.619692,,-4.302427,,-0.619692,-0.619692
pcr#2,-0.757087,,-4.816979,,-0.757087,-0.757087
pcr#1,-0.757087,,-4.816979,,-0.757087,-0.757087
lasso#1,-0.770381,,-4.553304,,-0.770381,-0.770381
lasso#2,-0.827708,,-4.623566,,-0.827708,-0.827708
L-En,-1.214245,,-3.498697,,-1.214245,-1.214245
ffn#2,-2.320153,,-3.214254,,-2.320153,-2.320153
lgbm_dart#2,-3.070344,,-2.014602,,-3.070344,-3.070344
ffn#1,-3.378545,,-3.450485,,-3.378545,-3.378545
rf#2,-5.136177,,-4.263967,,-5.136177,-5.136177
N-En,-5.92699,,-4.361085,,-5.92699,-5.92699
pls#2,-6.232803,,-3.429657,,-6.232803,-6.232803
rf#1,-7.538062,,-4.810832,,-7.538062,-7.538062
pls#1,-8.604346,,-3.8001,,-8.604346,-8.604346
lgbm_gbdt#2,-11.613482,,-3.211042,,-11.613482,-11.613482
lgbm_dart#1,-11.915607,,-4.139928,,-11.915607,-11.915607
lgbm_gbdt#1,-14.725542,,-3.35982,,-14.725542,-14.725542
