model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#2,0.165645,0.14695,1.747759,1.853949,0.177784
rf#2,0.142845,0.135514,1.654633,1.856946,0.167503
N-En,0.141657,0.125547,1.716971,1.877431,0.15064
rf#1,0.140122,0.129152,1.623121,1.838283,0.168327
lgbm_gbdt#1,0.133351,0.118871,1.354515,1.768879,0.153667
ffn#1,0.131849,0.153367,0.88294,1.664227,0.159672
ffn#2,0.131399,0.139876,1.057973,1.664227,0.153599
lgbm_dart#2,0.130752,0.106205,1.612923,1.701632,0.141897
pls#1,0.129262,0.094083,1.604849,1.819035,0.134305
pls#2,0.117198,0.106609,1.527913,1.691717,0.134745
L-En,0.098088,0.067752,1.624486,1.956985,0.08072
lasso#2,0.071384,0.047163,1.485639,2.013398,0.058701
lasso#1,0.070355,0.046684,1.492968,2.025741,0.058123
elasticnet#1,0.068619,0.045816,1.533417,2.061653,0.057237
elasticnet#2,0.068211,0.045579,1.532964,2.066037,0.056982
pcr#1,0.06476,0.043655,1.68626,2.122008,0.055453
pcr#2,0.06476,0.043655,1.68626,2.122008,0.055453
ridge#2,0.056329,0.08462,-0.094911,1.660149,0.081318
ridge#1,0.055714,0.083722,-0.099097,1.657351,0.080028
lgbm_dart#1,0.053895,0.038834,1.194349,1.718354,0.047401
