model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,53,1.747412,2.816808,4.516228,0.811321
N-En,53,1.760789,2.859816,4.482363,0.792453
elasticnet#2,53,1.692286,2.595623,4.746462,0.811321
ffn#1,53,1.749989,2.821091,4.516023,0.792453
lasso#1,53,1.692244,2.595439,4.746682,0.811321
lgbm_dart#1,53,1.75442,2.869713,4.450748,0.792453
lgbm_gbdt#2,53,1.698776,2.553357,4.843535,0.773585
pcr#2,53,1.733249,2.817657,4.478276,0.773585
pls#1,53,1.751249,2.816666,4.526375,0.811321
rf#1,53,1.751979,2.845972,4.481631,0.811321
ridge#2,53,1.749184,2.840896,4.482477,0.811321
