model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_dart#2,0.089774,0.017954,0.287187,-0.215452,-0.030579
lgbm_gbdt#2,0.089191,0.014744,0.494421,-0.379367,0.014965
N-En,0.062208,0.015495,0.549993,-0.502356,0.007205
ridge#2,0.058469,0.007775,1.217313,-0.86527,0.01063
lgbm_gbdt#1,0.058248,0.009275,0.569071,-0.578828,0.009735
ridge#1,0.058212,0.007815,1.21385,-0.862183,0.010718
lgbm_dart#1,0.056016,0.0053,0.437119,-0.768685,0.006644
L-En,0.036586,0.007113,1.614361,-0.71338,0.014196
rf#1,0.030883,0.008106,0.731423,-0.9304,0.0071
elasticnet#1,0.028739,0.010105,1.310355,-0.534247,0.008834
elasticnet#2,0.028247,0.010072,1.322444,-0.534719,0.008577
ffn#1,0.011068,-0.00408,-0.304239,-1.259377,-0.068582
ffn#2,0.010535,-0.00369,-0.313914,-1.241637,-0.068069
pcr#1,0.009474,-0.000172,-0.420424,0.207838,0.001677
pcr#2,0.009474,-0.000172,-0.420424,0.207838,0.001677
lasso#1,0.008353,0.009851,1.173817,-0.1798,0.004949
lasso#2,0.008302,0.009851,1.172991,-0.179734,0.004949
rf#2,0.003771,0.013525,0.356994,-0.402294,-0.005161
pls#2,-0.048512,-0.041582,-0.526973,-1.991723,-0.047591
pls#1,-0.068807,-0.039599,-0.878098,-1.935685,-0.059751
