model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_gbdt#2,0.014965,-0.020026,-0.359436,-1.118491,-0.03246,0.014965
L-En,0.014196,-0.000152,0.964275,-0.628206,0.011643,0.014196
ridge#1,0.010718,-0.002917,0.654486,-0.875897,0.01241,0.010718
ridge#2,0.01063,-0.002967,0.653691,-0.878643,0.012292,0.01063
lgbm_gbdt#1,0.009735,-0.028747,-0.322881,-1.379506,-0.024738,0.009735
elasticnet#1,0.008834,0.000331,0.717922,-0.629278,0.009788,0.008834
elasticnet#2,0.008577,-9.9e-05,0.711571,-0.651555,0.009524,0.008577
N-En,0.007205,-0.011717,-0.297896,-1.080589,-0.017547,0.007205
rf#1,0.0071,-0.010478,-0.223977,-1.130658,-0.006546,0.0071
lgbm_dart#1,0.006644,-0.032637,-0.447711,-1.199723,-0.027575,0.006644
lasso#1,0.004949,0.000196,0.624701,-0.526147,0.008017,0.004949
lasso#2,0.004949,0.000196,0.624644,-0.526137,0.008026,0.004949
pcr#2,0.001677,2.2e-05,-0.480377,0.308056,-0.001692,0.001677
pcr#1,0.001677,2.2e-05,-0.480377,0.308056,-0.001692,0.001677
rf#2,-0.005161,-0.005623,-0.793761,-1.016179,-0.010992,-0.005161
lgbm_dart#2,-0.030579,-0.019882,-0.61117,-1.080175,-0.087451,-0.030579
pls#2,-0.047591,-0.027647,-1.335789,-1.638378,-0.035932,-0.047591
pls#1,-0.059751,-0.03286,-1.775894,-2.034235,-0.042347,-0.059751
ffn#2,-0.068069,-0.015469,-1.075025,-1.464063,-0.065275,-0.068069
ffn#1,-0.068582,-0.016141,-1.070147,-1.510455,-0.065606,-0.068582
