model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
pcr#1,0.075726,0.001088,1.689663,0.245268,0.07481
rf#2,-0.626021,-0.177103,-1.296841,-1.543006,-0.383337
L-En,-0.736043,-0.145911,-2.512102,-0.705291,-0.575583
elasticnet#2,-0.762452,-0.26449,-3.086022,-0.725221,-0.642881
lasso#2,-0.768713,-0.326563,-2.921425,-1.110945,-0.626839
N-En,-0.774774,-0.432163,-1.431118,-1.05759,-0.530509
lgbm_dart#2,-1.742028,-1.360409,-2.266413,-0.998587,-1.398727
lgbm_gbdt#1,-2.223464,-1.471971,-2.575537,-1.236059,-1.71608
ffn#1,-2.300152,0.030968,-4.765973,0.265497,-1.960933
ridge#1,-4.37402,-0.303784,-5.785213,-0.973913,-3.797279
pls#2,-8.840314,-3.736958,-4.38611,-1.692258,-6.896147
