model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,7,1.709911,2.018866,2.240862,0.714286
N-En,7,1.709911,2.018866,2.240862,0.714286
elasticnet#1,7,1.709911,2.018866,2.240862,0.714286
elasticnet#2,7,1.709911,2.018866,2.240862,0.714286
ffn#1,7,1.688868,2.041722,2.188508,0.714286
ffn#2,7,1.68965,2.041257,2.19002,0.714286
lasso#1,7,1.709911,2.018866,2.240862,0.714286
lasso#2,7,1.709911,2.018866,2.240862,0.714286
lgbm_dart#1,7,1.709772,2.018389,2.241209,0.714286
lgbm_dart#2,7,1.68386,2.032229,2.192211,0.571429
lgbm_gbdt#1,7,1.686974,2.027785,2.201078,0.571429
lgbm_gbdt#2,7,1.70433,2.011498,2.241729,0.714286
pcr#1,7,1.705597,2.011514,2.243378,0.714286
pcr#2,7,1.705597,2.011514,2.243378,0.714286
pls#1,7,1.709911,2.018866,2.240862,0.714286
pls#2,7,1.709911,2.018866,2.240862,0.714286
rf#1,7,1.705597,2.011514,2.243378,0.714286
rf#2,7,1.684701,2.030816,2.194832,0.571429
ridge#1,7,1.709911,2.018866,2.240862,0.714286
ridge#2,7,1.709911,2.018866,2.240862,0.714286
