model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
pcr#2,0.040746,0.050162,1.217276,2.238542,0.079428
pcr#1,0.040746,0.050162,1.217276,2.238542,0.079428
lgbm_gbdt#1,0.040012,0.08334,0.940408,1.908551,0.131228
lasso#2,0.022719,0.055779,1.117294,2.473447,0.093723
lgbm_dart#2,0.022441,0.069419,1.04144,1.688337,0.111258
elasticnet#2,0.020284,0.063453,1.112282,2.299958,0.101929
elasticnet#1,0.01767,0.065678,1.106872,2.266312,0.103675
lasso#1,0.008616,0.067227,1.084094,2.237991,0.105063
L-En,-0.000725,0.086037,1.065874,2.119567,0.118108
lgbm_gbdt#2,-0.032907,0.069502,0.967251,0.945833,0.11079
lgbm_dart#1,-0.082698,0.058807,0.846168,1.662045,0.113786
N-En,-0.112691,0.077011,0.820704,1.767258,0.114743
pls#2,-0.117511,0.093192,0.778269,1.70277,0.140914
ridge#1,-0.136637,0.102423,1.018667,1.927793,0.094684
ridge#2,-0.139032,0.102873,1.018175,1.921766,0.094239
ffn#2,-0.180697,0.107768,0.610308,1.823614,0.114593
pls#1,-0.28049,0.100519,0.644734,1.981399,0.107062
rf#2,-0.365709,-0.034442,0.634671,1.032312,0.044437
rf#1,-0.429834,-0.046059,0.560767,0.916905,0.027359
ffn#1,-0.452421,0.094706,0.436914,1.650253,0.062732
