model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
pls#2,0.140914,0.133331,1.119883,2.092019,0.15595,0.140914
lgbm_gbdt#1,0.131228,0.065553,1.115368,2.087419,0.163507,0.131228
L-En,0.118108,0.079918,1.459678,2.35896,0.10786,0.118108
N-En,0.114743,0.09803,1.116917,2.170444,0.142464,0.114743
ffn#2,0.114593,0.131124,1.053437,2.150218,0.125635,0.114593
lgbm_dart#1,0.113786,0.070557,1.073454,2.104404,0.154114,0.113786
lgbm_dart#2,0.111258,0.058218,1.297158,2.266311,0.123927,0.111258
lgbm_gbdt#2,0.11079,0.089724,1.300167,1.484747,0.108384,0.11079
pls#1,0.107062,0.101816,0.978732,2.306769,0.155273,0.107062
lasso#1,0.105063,0.05966,1.500321,2.355151,0.090661,0.105063
elasticnet#1,0.103675,0.05807,1.529394,2.360032,0.08703,0.103675
elasticnet#2,0.101929,0.055479,1.530828,2.371115,0.085838,0.101929
ridge#1,0.094684,0.110611,1.471092,2.188676,0.097436,0.094684
ridge#2,0.094239,0.111767,1.470091,2.18353,0.097276,0.094239
lasso#2,0.093723,0.04635,1.535348,2.413261,0.079173,0.093723
pcr#1,0.079428,0.039972,1.600969,2.539681,0.069403,0.079428
pcr#2,0.079428,0.039972,1.600969,2.539681,0.069403,0.079428
ffn#1,0.062732,0.146039,0.869254,2.018692,0.126687,0.062732
rf#2,0.044437,0.07936,0.875945,1.675225,0.132409,0.044437
rf#1,0.027359,0.077582,0.826232,1.582713,0.11719,0.027359
