feature,mean_abs_shap
opt_rel_spread_final,0.20080367122574921
log_mid_t,0.15989390279774582
futmom_10,0.03666900807746891
log1p_short_liquidations_usd,0.026877737362030606
opt_rel_spread_chg,0.02457782465140512
vega_model,0.02454689160109086
rv_chg,0.02398546859601572
fut_baspread_z,0.02231673699520251
d_log1p_taker_buy_volume,0.019881540325056794
dgex_proxy,0.018495734828461084
ivrv_ratio_pred,0.01841592050923149
d_log_pcr_oi,0.017907797270934007
ddist_to_wall,0.016487264585956035
d_iv_atm,0.015063123164310271
dist_to_wall,0.014649869196606888
moneyness_std,0.014247051059032964
d_log1p_long_liquidations_usd,0.013767985798620224
convexity_proxy,0.013388102509820232
oi_herf_date,0.013338834131841304
log1p_taker_buy_volume,0.01288965305706503
gex_proxy,0.012862981355636259
realskew_chg,0.011938270301540849
dgex_proxy_date,0.01069851103929687
log_open_interest_opt,0.00962426187098615
rr25_proxy,0.009533629648834146
futmom_5,0.009003100837918464
baspread_chg,0.00872344036308864
iv,0.008443158838526624
d_log_pcr_oi_opt,0.008130178774611668
delta_model,0.007785374512624027
log_taker_buy_sell_ratio,0.007546376950942689
gamma_model,0.006877363252192972
tau,0.0068755869227087015
d_log1p_short_liquidations_usd,0.006733317944819024
is_call,0.006317413578965298
d_log_open_interest_opt,0.006083376780173277
d_funding_rates,0.005651368223182834
ddist_to_wall_date,0.0056404830255766545
futmom_21,0.005473392589638369
smile_slope,0.005106434560730521
d_log_estimated_leverage_ratio,0.005094665292415193
log_pcr_oi,0.004901821343555856
funding_rates,0.004728873780067201
atm_iv,0.004571031491177816
basis,0.004317346043905139
bf25_proxy,0.004276389460435558
d_log_taker_buy_sell_ratio,0.004012102905589378
d_log_open_interest,0.003917255260303751
atm_ivchg_proxy,0.0037617693065444594
log_pcr_oi_opt,0.003545218902210069
log1p_long_liquidations_usd,0.0028210160517719305
log_estimated_leverage_ratio,0.002461981515107172
theta_model,0.002442786732507164
fut_baspread_chg,0.002172805695465707
log_open_interest,0.001867777053995914
d_basis,0.0015405137128322692
d_log1p_spot_inflow_total,0.0
