model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
rf#1,0.194122,0.150957,2.067896,2.355637,0.182922,0.194122
rf#2,0.194122,0.150957,2.067896,2.355637,0.182922,0.194122
lgbm_dart#1,0.19027,0.161319,2.105546,2.451051,0.180481,0.19027
ffn#1,0.177639,0.12807,2.057573,2.384957,0.16851,0.177639
ffn#2,0.177266,0.127787,2.057574,2.384633,0.168182,0.177266
N-En,0.174596,0.135354,2.190958,2.544988,0.163359,0.174596
lgbm_gbdt#2,0.147746,0.119138,2.317895,2.753851,0.13969,0.147746
pls#1,0.142735,0.101859,2.070301,2.348606,0.13272,0.142735
lgbm_dart#2,0.141829,0.110852,2.198684,2.554303,0.122988,0.141829
pls#2,0.141527,0.10546,2.083528,2.349782,0.132015,0.141527
lgbm_gbdt#1,0.139067,0.10628,2.302527,2.617362,0.128276,0.139067
ridge#2,0.086666,0.056295,2.35885,2.798985,0.078629,0.086666
ridge#1,0.086492,0.056134,2.359095,2.800448,0.078464,0.086492
L-En,0.084686,0.056442,2.377041,2.760939,0.077557,0.084686
lasso#2,0.072402,0.044718,2.394728,2.860605,0.065709,0.072402
lasso#1,0.072352,0.044664,2.394541,2.860507,0.065661,0.072352
elasticnet#1,0.071933,0.044218,2.393505,2.861383,0.06528,0.071933
elasticnet#2,0.070895,0.043091,2.38917,2.857907,0.064302,0.070895
pcr#1,0.032395,0.019968,2.563025,3.00404,0.029396,0.032395
pcr#2,0.032395,0.019968,2.563025,3.00404,0.029396,0.032395
