group,y_target,y_raw,yhat_ridge#1,resid_ridge#1,yhat_ridge#2,resid_ridge#2,yhat_lasso#1,resid_lasso#1,yhat_lasso#2,resid_lasso#2,yhat_elasticnet#1,resid_elasticnet#1,yhat_elasticnet#2,resid_elasticnet#2,yhat_pcr#1,resid_pcr#1,yhat_pcr#2,resid_pcr#2,yhat_pls#1,resid_pls#1,yhat_pls#2,resid_pls#2,yhat_L-En,resid_L-En,yhat_ffn#1,resid_ffn#1,yhat_ffn#2,resid_ffn#2,yhat_rf#1,resid_rf#1,yhat_rf#2,resid_rf#2,yhat_lgbm_gbdt#1,resid_lgbm_gbdt#1,yhat_lgbm_gbdt#2,resid_lgbm_gbdt#2,yhat_lgbm_dart#1,resid_lgbm_dart#1,yhat_lgbm_dart#2,resid_lgbm_dart#2,yhat_N-En,resid_N-En
2023-03-03,-0.13728215102362862,-0.13728215102362862,0.5081489458177144,-0.645431096841343,0.5106465110726638,-0.6479286620962924,0.33851967082956747,-0.4758018218531961,0.33875330450203633,-0.47603545552566495,0.33661566658008635,-0.47389781760371497,0.3316962297562792,-0.46897838077990783,0.1497010334050761,-0.28698318442870474,0.14970102965823098,-0.2869831806818596,0.42240011942369754,-0.5596822704473261,0.3809089305752029,-0.5181910815988315,0.3467091441620555,-0.4839912951856841,0.6722184419631958,-0.8095005929868244,0.6677682995796204,-0.805050450603249,0.4507707010855678,-0.5880528521091964,0.45077070108556794,-0.5880528521091966,0.2708432657204115,-0.4081254167440401,0.31238219421318025,-0.44966434523680887,1.3347258887301372,-1.4720080397537658,0.3024279138621169,-0.43971006488574554,0.5577384257799747,-0.6950205768036033
2023-03-03,-0.12792615731985071,-0.12792615731985071,0.5771126658607597,-0.7050388231806104,0.5794911452208281,-0.7074173025406788,0.4471846108583035,-0.5751107681781542,0.4475625037776026,-0.5754886610974533,0.44367403229709224,-0.5716001896169429,0.43527103772143916,-0.5631971950412898,0.14531329797605472,-0.27323945529590543,0.1453132930896043,-0.273239450409455,0.41370268038138913,-0.5416288377012398,0.34460186697885664,-0.4725280242987073,0.397922713416193,-0.5258488707360437,0.9536958932876587,-1.0816220506075094,0.9458461403846741,-1.0737722977045248,0.3573795928228659,-0.4853057501427166,0.3573795928228659,-0.4853057501427166,0.3660500837281802,-0.49397624104803095,0.22603303650413958,-0.3539591938239903,0.9281101956127558,-1.0560363529326064,0.307886025862244,-0.4358121831820947,0.555297570128173,-0.6832237274480237
2023-03-03,-0.028933519010962482,-0.028933519010962482,0.05980971745736954,-0.08874323646833203,0.06065110473694649,-0.08958462374790897,-0.0014985954772656629,-0.02743492353369682,-0.0015523895895657724,-0.02738112942139671,-0.0005788761440227441,-0.028354642866939738,0.0005370940015743397,-0.029470613012536822,0.06631003658394574,-0.09524355559490823,0.06631003584245235,-0.09524355485341483,-0.390621905235517,0.3616883862245545,-0.4168121440525928,0.38787862504163034,-0.05574459218766755,0.02681107317670507,-0.0890454351902008,0.06011191617923832,-0.08951074630022049,0.060577227289258004,0.0702657853935698,-0.09919930440453228,0.0702657853935698,-0.09919930440453228,-0.011775384973523708,-0.017158134037438773,0.0030217430805639825,-0.031955262091526465,0.5222180474830244,-0.5511515664939869,0.02193672468060543,-0.05087024369156791,0.06217206494592356,-0.09110558395688605
2023-03-03,-0.2118741889916125,-0.2118741889916125,0.9042057226167665,-1.116079911608379,0.9082924059102989,-1.1201665949019115,0.6725586863668092,-0.8844328753584216,0.6732806793294359,-0.8851548683210484,0.6659214979573935,-0.877795686949006,0.6502123618688375,-0.8620865508604499,0.2212226911821102,-0.4330968801737227,0.22122268344346013,-0.43309687243507267,0.8867685134909028,-1.0986427024825154,0.8421055102625915,-1.053979699254204,0.6645790752428606,-0.8764532642344731,1.7764317989349365,-1.988305987926549,1.7705620527267456,-1.982436241718358,2.085263026815021,-2.2971372158066337,2.085263026815021,-2.2971372158066337,1.3224426536412457,-1.5343168426328582,1.1455891889707417,-1.3574633779623542,1.9451977585539586,-2.157071947545571,1.2169273184693175,-1.42880150746093,1.6684596031158736,-1.880333792107486
2023-03-03,-0.1630394190837544,-0.1630394190837544,0.7008485499442227,-0.8638879690279772,0.704021117243947,-0.8670605363277014,0.5261419415931075,-0.6891813606768619,0.5266750526225671,-0.6897144717063215,0.5212615503761129,-0.6843009694598673,0.5095724572871841,-0.6726118763709386,0.17469052448294828,-0.3377299435667027,0.17469051849127665,-0.33772993757503106,0.5878027340786554,-0.7508421531624098,0.5255425848474777,-0.6885820039312321,0.49512470309674994,-0.6581641221805044,1.2654633522033691,-1.4285027712871234,1.2590677738189697,-1.422107192902724,0.7718116562232146,-0.934851075306969,0.7718116562232146,-0.934851075306969,0.6053378962906006,-0.768377315374355,0.40264082914736327,-0.5656802482311176,1.03755919319448,-1.2005986122782346,0.5944746261034585,-0.7575140451872129,0.8385208729005837,-1.001560291984338
2023-03-03,-0.13237803049608274,-0.13237803049608274,0.1177431188458298,-0.25012114934191254,0.1185867600887606,-0.25096479058484333,0.07197499207321495,-0.2043530225692977,0.072031375165237,-0.20440940566131974,0.07180166100732693,-0.20417969150340967,0.07028634688965688,-0.2026643773857396,0.025222263355737004,-0.15760029385181973,0.025222262779245285,-0.157600293275328,-0.31281248613001367,0.18043445563393093,-0.370629434625787,0.23825140412970428,-0.011057314055079226,-0.1213207164410035,-0.060729533433914185,-0.07164849706216855,-0.06250143051147461,-0.06987659998460813,0.05936849274737665,-0.1917465232434594,0.05936849274737665,-0.1917465232434594,-0.011775384973523708,-0.12060264552255903,0.0030217430805639825,-0.13539977357664673,0.6560539443341259,-0.7884319748302087,0.02193672468060543,-0.15431475517668816,0.08309288108389203,-0.21547091157997478
2023-03-03,-0.11444855840849079,-0.11444855840849079,0.02889948040388271,-0.1433480388123735,0.029640708912050423,-0.14408926732054123,-0.013310164526618845,-0.10113839388187194,-0.013327352105951068,-0.10112120630253972,-0.012775594205996027,-0.10167296420249476,-0.012744270897137644,-0.10170428751135314,-0.004468646398815036,-0.10997991200967575,-0.004468645984664052,-0.10997991242382674,-0.4615410971275318,0.347092538719041,-0.5271420671958733,0.41269350878738253,-0.09912376491266546,-0.015324793495825328,-0.08554869145154953,-0.02889986695694126,-0.08686991035938263,-0.02757864804910816,0.025010964105739008,-0.1394595225142298,0.025010964105738994,-0.13945952251422977,-0.016518999026882267,-0.09792955938160852,-0.005638049285763808,-0.10881050912272698,0.37691138340387237,-0.49135994181236314,0.02193672468060543,-0.13638528308909623,0.03178679827154719,-0.14623535668003798
2023-03-03,-0.12925824093098973,-0.12925824093098973,0.69690907253859,-0.8261673134695797,0.6999160754103446,-0.8291743163413343,0.49521387768201436,-0.6244721186130041,0.4955550554318499,-0.6248132963628397,0.49215848967996567,-0.6214167306109554,0.48498366633994094,-0.6142419072709306,0.19256265465122469,-0.3218208955822144,0.1925626493899477,-0.3218208903209374,0.7862760468527955,-0.9155342877837852,0.7278343831619851,-0.8570926240929748,0.5263971971138659,-0.6556554380448556,1.2426819801330566,-1.3719402210640463,1.2342597246170044,-1.363517965547994,0.826648434900235,-0.9559066758312247,0.826648434900235,-0.9559066758312247,0.6053378962906006,-0.7345961372215903,0.4786716811695835,-0.6079299221005732,1.4301184194557255,-1.5593766603867152,0.5944746261034585,-0.7237328670344482,0.9048551496962374,-1.034113390627227
2023-03-03,-0.12965094918766337,-0.12965094918766337,0.364277434594635,-0.4939283837822984,0.36642028747244915,-0.49607123666011255,0.2180927124454752,-0.3477436616331386,0.2182663163089385,-0.34791726549660185,0.2169152208461814,-0.34656617003384477,0.21327323696188688,-0.3429241861495502,0.11904570880281276,-0.24869665799047613,0.11904570615444418,-0.24869665534210755,0.15281153706140227,-0.28246248624906567,0.12627401565799692,-0.2559249648456603,0.21144221763062224,-0.3410931668182856,0.294241726398468,-0.4238926755861314,0.29168349504470825,-0.42133444423237165,0.2553049831281991,-0.38495593231586245,0.2553049831281991,-0.38495593231586245,0.018773070762020963,-0.14842401994968435,0.1578500685127065,-0.28750101770036984,1.2806945592417103,-1.4103455084293737,0.040056120240162786,-0.16970706942782615,0.3242386258070219,-0.4538895749946853
2023-03-03,-0.1378150451343658,-0.1378150451343658,0.24557070652053412,-0.3833857516548999,0.2468483681130416,-0.3846634132474074,0.17758757710989187,-0.31540262224425764,0.17775879760206198,-0.31557384273642775,0.1763176318259307,-0.31413267696029645,0.17236884667472058,-0.31018389180908634,0.06172139646344882,-0.1995364415978146,0.06172139461820585,-0.19953643975257165,-0.11128985013737258,-0.026525194996993212,-0.16754400851106838,0.029728963376702583,0.10410608602793944,-0.24192113116230524,0.06316468864679337,-0.20097973378115916,0.06112457066774368,-0.19893961580210948,0.21067266055255504,-0.34848770568692083,0.21067266055255504,-0.34848770568692083,0.018773070762020963,-0.15658811589638677,0.04445240226872695,-0.18226744740309275,1.1181667204661845,-1.2559817656005503,0.040056120240162786,-0.17787116537452857,0.2208853617695928,-0.3587004069039586
