model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
ffn#1,0.197925,0.080032,1.876218,2.401674,0.198362,0.197925
ffn#2,0.197179,0.080418,1.910827,2.406138,0.196151,0.197179
rf#1,0.191812,0.111819,2.210912,2.351717,0.164303,0.191812
lgbm_dart#1,0.191146,0.105288,2.219985,2.262564,0.166975,0.191146
rf#2,0.17588,0.092833,2.301365,2.191841,0.139274,0.17588
pls#2,0.175393,0.065458,2.107893,2.388241,0.157411,0.175393
N-En,0.173002,0.092119,2.216984,2.402377,0.152724,0.173002
pls#1,0.171125,0.068026,2.129219,2.369072,0.152141,0.171125
lgbm_gbdt#1,0.158426,0.107859,2.26311,2.05792,0.124183,0.158426
lgbm_gbdt#2,0.137147,0.092779,2.329687,2.151434,0.109618,0.137147
L-En,0.097105,0.035584,2.378475,2.78779,0.085654,0.097105
lgbm_dart#2,0.089541,0.043468,2.118631,2.858982,0.086972,0.089541
ridge#2,0.088917,0.030754,2.374466,2.833338,0.079328,0.088917
ridge#1,0.088774,0.030716,2.373429,2.834818,0.079259,0.088774
lasso#1,0.077024,0.02714,2.365912,2.994718,0.070021,0.077024
lasso#2,0.076931,0.027087,2.376098,3.000518,0.06963,0.076931
elasticnet#1,0.07622,0.026984,2.366381,2.989689,0.069358,0.07622
elasticnet#2,0.075864,0.026889,2.363717,2.983098,0.069143,0.075864
pcr#1,0.049698,0.02077,2.646187,2.704709,0.039085,0.049698
pcr#2,0.049698,0.02077,2.646187,2.704709,0.039085,0.049698
