model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
rf#1,0.188797,0.192075,0.01308,1.952313,0.213099
lgbm_gbdt#1,0.173771,0.198982,-0.01254,1.837246,0.204576
rf#2,0.170691,0.165291,0.681878,1.998065,0.190829
lgbm_gbdt#2,0.158518,0.17871,0.059997,1.656668,0.186884
N-En,0.156862,0.176926,0.233167,1.789985,0.17568
lgbm_dart#1,0.153564,0.186111,0.421925,1.472547,0.163423
lgbm_dart#2,0.132363,0.151121,0.165602,1.809494,0.157706
pls#2,0.112053,0.120667,0.002067,1.682315,0.12278
pls#1,0.110942,0.10228,0.031179,1.725945,0.130024
ffn#1,0.100786,0.165273,-0.119798,1.780186,0.138591
ffn#2,0.098812,0.169392,-0.193227,1.77104,0.141318
L-En,0.063179,0.077789,0.041838,1.730201,0.077291
lasso#2,0.059783,0.064871,0.563188,1.665145,0.067457
lasso#1,0.059517,0.064567,0.566726,1.665205,0.067127
elasticnet#1,0.054895,0.061354,0.211569,1.709072,0.064207
elasticnet#2,0.054793,0.060148,0.368117,1.684217,0.062142
pcr#1,0.044051,0.043118,0.454453,1.80189,0.051446
pcr#2,0.044051,0.043118,0.454453,1.80189,0.051446
ridge#1,-0.005225,0.103818,-1.16324,1.756716,0.072517
ridge#2,-0.005454,0.10463,-1.174893,1.760068,0.073252
