model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
rf#1,0.213099,0.165519,1.649442,1.734485,0.19969,0.213099
lgbm_gbdt#1,0.204576,0.158132,1.539261,1.682453,0.183414,0.204576
rf#2,0.190829,0.147485,1.858817,1.734661,0.19006,0.190829
lgbm_gbdt#2,0.186884,0.122184,1.65488,1.790445,0.180678,0.186884
N-En,0.17568,0.132739,1.700162,1.805623,0.167951,0.17568
lgbm_dart#1,0.163423,0.107509,1.683929,1.848598,0.163242,0.163423
lgbm_dart#2,0.157706,0.115542,1.71176,1.873952,0.150444,0.157706
ffn#2,0.141318,0.122216,1.588276,1.791018,0.129802,0.141318
ffn#1,0.138591,0.119584,1.608916,1.79535,0.12829,0.138591
pls#1,0.130024,0.073943,1.71287,1.823526,0.127901,0.130024
pls#2,0.12278,0.086278,1.701511,1.860748,0.119406,0.12278
L-En,0.077291,0.055138,1.63321,1.87649,0.072133,0.077291
ridge#2,0.073252,0.079569,0.919672,1.852367,0.047476,0.073252
ridge#1,0.072517,0.078666,0.924616,1.851524,0.047186,0.072517
lasso#2,0.067457,0.042874,1.816851,1.960221,0.067164,0.067457
lasso#1,0.067127,0.042658,1.819071,1.960948,0.066875,0.067127
elasticnet#1,0.064207,0.041908,1.710441,1.928104,0.061712,0.064207
elasticnet#2,0.062142,0.040131,1.770544,1.957848,0.060989,0.062142
pcr#1,0.051446,0.031228,1.682751,1.78756,0.048927,0.051446
pcr#2,0.051446,0.031228,1.682751,1.78756,0.048927,0.051446
