model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
rf#1,0.240374,0.173142,1.945489,1.937842,0.252057,0.240374
rf#2,0.209856,0.142092,1.889856,1.87305,0.225316,0.209856
lgbm_dart#2,0.20473,0.144697,2.306288,2.266487,0.229516,0.20473
N-En,0.20208,0.137206,2.293778,2.219081,0.218885,0.20208
ffn#2,0.196863,0.124838,1.966335,1.859405,0.202392,0.196863
pls#2,0.196471,0.114444,1.984779,1.450808,0.201111,0.196471
ffn#1,0.196066,0.124926,1.932883,1.840493,0.200903,0.196066
lgbm_gbdt#1,0.187672,0.147324,2.415457,2.307164,0.201546,0.187672
elasticnet#2,0.171181,0.10306,2.555455,2.279743,0.184985,0.171181
elasticnet#1,0.169382,0.101844,2.558138,2.290421,0.183539,0.169382
L-En,0.166587,0.098004,2.516448,2.25179,0.177524,0.166587
pls#1,0.166099,0.094759,1.731222,1.930074,0.176164,0.166099
ridge#2,0.164452,0.124418,2.117583,2.160251,0.15446,0.164452
ridge#1,0.164291,0.123438,2.132573,2.161481,0.154942,0.164291
lasso#1,0.164169,0.099334,2.55371,2.316312,0.179193,0.164169
lasso#2,0.163959,0.099219,2.554115,2.317318,0.179005,0.163959
lgbm_gbdt#2,0.157567,0.113241,2.564738,2.484651,0.181175,0.157567
lgbm_dart#1,0.112949,0.069966,2.682262,2.560387,0.131459,0.112949
pcr#1,0.0931,0.034981,2.546188,2.598878,0.106358,0.0931
pcr#2,0.0931,0.034981,2.546188,2.598878,0.106358,0.0931
