model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
N-En,0.069095,0.053039,1.550355,1.260603,0.072168,0.069095
lgbm_gbdt#1,0.059934,0.043748,0.892676,0.888645,0.052284,0.059934
rf#2,0.051488,0.035229,1.799872,1.167425,0.058714,0.051488
lgbm_dart#2,0.050364,0.044903,0.766761,1.111415,0.045455,0.050364
L-En,0.035563,0.024993,2.221872,1.630339,0.044515,0.035563
elasticnet#2,0.030852,0.025307,2.179459,1.704685,0.0414,0.030852
lasso#2,0.028535,0.02356,2.258042,1.744054,0.038593,0.028535
pls#2,-0.000389,0.005943,0.711136,0.699148,0.035475,-0.000389
ffn#1,-0.001284,0.05977,0.577043,1.337097,0.031615,-0.001284
pcr#1,-0.0033,4.8e-05,-2.34375,0.060075,-0.006639,-0.0033
ridge#1,-0.053005,0.023614,-0.721221,1.17127,-0.017924,-0.053005
