model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,11,-0.022506,0.621485,-0.120108,0.545455
N-En,11,0.086729,0.494205,0.582043,0.545455
elasticnet#1,11,0.043926,0.466016,0.312619,0.545455
elasticnet#2,11,0.052063,0.467787,0.369131,0.545455
ffn#1,11,0.106172,0.50691,0.694666,0.545455
ffn#2,11,0.091844,0.503469,0.605028,0.545455
lasso#1,11,0.052063,0.467787,0.369131,0.545455
lasso#2,11,0.052063,0.467787,0.369131,0.545455
lgbm_dart#1,11,-0.07888,0.476926,-0.548546,0.363636
lgbm_dart#2,11,-0.012576,0.544183,-0.076648,0.636364
lgbm_gbdt#1,11,0.15578,0.339149,1.523412,0.545455
lgbm_gbdt#2,11,0.043776,0.426016,0.340808,0.363636
pcr#1,11,0.080502,0.809676,0.329753,0.545455
pcr#2,11,0.080502,0.809676,0.329753,0.545455
pls#1,11,-0.057419,0.892447,-0.213386,0.545455
pls#2,11,-0.082835,0.884513,-0.310603,0.545455
rf#1,11,0.020856,0.413601,0.16724,0.545455
rf#2,11,-0.151631,0.703744,-0.714612,0.454545
ridge#1,11,0.068909,0.515307,0.443516,0.454545
ridge#2,11,0.068909,0.515307,0.443516,0.454545
