model,params,score_mean,fold_scores,n_splits,gap,min_train_days,use_trva,best_iteration_median
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.198184512601387}",-0.5353347975387042,"[-1.098976468305663, 0.028306873228254648]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.046896396312667}",-0.39017893281757715,"[-0.8089078458741332, 0.028549980238978923]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 12.384930898256401}",-0.06665195322654999,"[-0.16460017985205933, 0.03129627339895935]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.1515920461138471}",-1.5034699825219233,"[-3.0349425747599685, 0.028002609716121674]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 10.006913513545575}",-0.0930947537536907,"[-0.21688536510563727, 0.030695857598255882]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 10.278118224157009}",-0.08957388502686725,"[-0.209912964022559, 0.03076519396882449]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.42770830499620704}",-0.9424999266755623,"[-1.913083232064607, 0.028083378713482432]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.24365700014641997}",-1.2397512207119987,"[-2.5075320222530855, 0.02802958082908813]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.8836597074694355}",-0.6356324902849532,"[-1.29948094811924, 0.028215967549333643]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.2334805700860019}",-0.5265330700507184,"[-1.0813831869079755, 0.028317046806538793]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.135589606500229}",-0.1981831317160494,"[-0.42577600502022506, 0.02940974158812626]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.0692098656538342}",-0.38756119653631665,"[-0.8036787226969839, 0.028556329624350618]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 92.28295957427436}",0.039657877684635134,"[0.03393125535743846, 0.04538450001183181]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.202364548436489}",-1.3433560482269788,"[-2.7147295853834548, 0.02801748892949718]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.423282455862012}",-0.9476056459439174,"[-1.9232933788189022, 0.028082086931067396]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.3047393617736388}",-1.1172803070329358,"[-2.262608067031962, 0.028047452966090347]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 9.105944026265275}",-0.10597486395095623,"[-0.2424136001962245, 0.030463872294312022]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.5752740814116687}",-0.8051309909936795,"[-1.638388378253889, 0.02812639626653013]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.5057187257477667}",-0.3429938954610075,"[-0.7146679074861151, 0.028680116564100078]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.5410990556767874}",-0.832179905442832,"[-1.6924762537367246, 0.02811644285106052]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.2998532434945439}",-1.125984863113363,"[-2.2800157502146328, 0.028046023987906454]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.21435095535798537}",-1.311183306501817,"[-2.6503876128214476, 0.028020999817813586]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 9.310837957239837}",-0.10287350561068742,"[-0.23626386448557657, 0.030516853264201727]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.2597459914786605}",-1.2043653170043263,"[-2.4367649240571922, 0.028034290048539745]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.3888186473153666}",-0.9899565165079365,"[-2.0079850577500395, 0.02807202473416659]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.2769547619045511}",-0.5161908356036049,"[-1.0607112411523776, 0.028329569945167665]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 29.038868465087933}",0.003072740107915972,"[-0.02894428798576154, 0.035089768201593485]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.19557071673386747}",-1.362443423840934,"[-2.7529023463524522, 0.028015498670584393]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 32.64635677523521}",0.008863732730126583,"[-0.018103483827432543, 0.03583094928768571]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.19422056969726925}",-1.3663137383952821,"[-2.7606425799080094, 0.02801510311744504]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 84.99206771743685}",0.038014352739273505,"[0.03160308726557337, 0.04442561821297364]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.5465581928924363}",-0.339362917743653,"[-0.7074174926430739, 0.028691657155767825]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 85.16933662231996}",0.0380569078765613,"[0.03166433478357056, 0.044449480969552035]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 6.524339610666338}",-0.1569013469818346,"[-0.34358728888149304, 0.029784594917823815]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 16.511660035531794}",-0.03694242182959645,"[-0.10618478685204424, 0.032299943192851344]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.1310881325831351}",-1.5816823779987914,"[-3.191361353391409, 0.027996597393826428]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.7053763390632227}",-0.7202692889044453,"[-1.468702816263911, 0.028164238455020585]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.2293980298131186}",-1.273303826148671,"[-2.5746330585157446, 0.028025406218402438]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.7734292502064646}",-0.6845380152124241,"[-1.3972600317902404, 0.02818400136539223]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.22708223335487526}",-1.2789620441967782,"[-2.5859488165224005, 0.028024728128843934]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.8993930726120073}",-0.6293946869740841,"[-1.2870098995319963, 0.028220525583828038]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.7489966737814584}",-0.4294162397053033,"[-0.8872974865475822, 0.02846500713697564]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.15575517641504763}",-1.4886607759474402,"[-3.0053253821101524, 0.028003830215271974]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 11.951333297092354}",-0.07081067369586141,"[-0.1728093941693727, 0.031188046777649858]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.009615137983936}",-0.20267309029233604,"[-0.43472157500344344, 0.02937539441877135]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.6254152586876391}",-0.7693809256924209,"[-1.5669028412991204, 0.028140989914278602]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 3.713164249534621}",-0.2597111630737868,"[-0.5484407824230593, 0.029018456275485716]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.1913469447807097}",-1.3746386067982812,"[-2.7772914747977766, 0.028014261201214197]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.343668232660404}",-0.1910812163312548,"[-0.4116287799586533, 0.029466347296143724]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 61.36045802294311}",0.03060428309834795,"[0.02024019199759075, 0.04096837419910515]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.903039728888593}",-0.6279722196001558,"[-1.2841660210769312, 0.028221581876619606]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 10.05150608466081}",-0.0925053256359244,"[-0.21571792500659281, 0.030707273734744023]",3,1,60,True,
