model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#1,0.072657,0.069165,1.566445,1.607116,0.173011
N-En,0.070137,0.067121,1.194907,1.554866,0.182057
lgbm_dart#2,0.064818,0.074594,0.352599,1.657902,0.197636
rf#2,0.057143,0.053722,1.508349,1.472022,0.160023
rf#1,0.03901,0.047024,1.154884,1.419695,0.155652
ffn#2,0.034326,0.05987,0.767068,1.116186,0.193835
ffn#1,0.033629,0.05302,0.857545,1.150915,0.17674
lgbm_gbdt#2,0.027014,0.0466,-0.330138,1.36635,0.168779
lgbm_dart#1,0.024566,0.02838,0.032632,0.459754,0.182576
L-En,0.023799,0.030137,0.124096,1.595316,0.080761
elasticnet#1,0.019474,0.028459,0.782743,1.678817,0.062055
lasso#2,0.016387,0.024753,0.422996,1.524179,0.067332
elasticnet#2,0.016286,0.024857,0.436445,1.531993,0.065863
lasso#1,0.015982,0.024978,0.445672,1.525269,0.064772
pcr#2,-0.002827,-0.000383,-0.638424,-2.111678,-0.004796
pcr#1,-0.002827,-0.000383,-0.638424,-2.111678,-0.004796
ridge#1,-0.026478,0.039519,-0.617189,1.664815,0.068851
ridge#2,-0.027101,0.039596,-0.630113,1.664497,0.068962
pls#1,-0.126073,-0.021981,-1.342304,-0.231035,0.169398
pls#2,-0.127231,-0.025699,-1.390059,-0.453826,0.15921
