model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,17,1.038748,1.53323,2.793362,0.823529
N-En,17,1.030755,1.53034,2.777104,0.705882
elasticnet#1,17,0.9858,1.552228,2.618532,0.705882
elasticnet#2,17,0.984752,1.55277,2.614835,0.705882
ffn#1,17,1.123865,1.464763,3.163526,0.823529
ffn#2,17,1.125737,1.463509,3.17151,0.823529
lasso#1,17,0.968718,1.559136,2.561756,0.705882
lasso#2,17,0.968718,1.559136,2.561756,0.705882
lgbm_dart#1,17,0.991625,1.527366,2.676879,0.705882
lgbm_dart#2,17,0.995559,1.527964,2.686446,0.705882
lgbm_gbdt#1,17,0.97171,1.592367,2.516043,0.705882
lgbm_gbdt#2,17,0.971499,1.583465,2.529638,0.705882
pcr#1,17,-0.786908,2.097665,-1.546723,0.235294
pcr#2,17,-0.786908,2.097665,-1.546723,0.235294
pls#1,17,1.05775,1.544242,2.82418,0.823529
pls#2,17,1.102135,1.528664,2.972674,0.823529
rf#1,17,0.970103,1.596116,2.505983,0.705882
rf#2,17,0.963956,1.58186,2.512543,0.705882
ridge#1,17,1.054678,1.532166,2.83817,0.705882
ridge#2,17,1.054678,1.532166,2.83817,0.705882
