model,params,score_mean,fold_scores,n_splits,gap,min_train_days,use_trva,best_iteration_median
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.198184512601387}",-0.14713546255040616,"[-0.37660455517232094, 0.08233363007150862]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.046896396312667}",-0.1170692488513202,"[-0.3156658199595064, 0.08152732225686599]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 12.384930898256401}",-0.01769497443921969,"[-0.10920587656321001, 0.07381592768477063]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.1515920461138471}",-0.20472701646518537,"[-0.4928231837370123, 0.08336915080664153]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 10.006913513545575}",-0.0255659559605812,"[-0.12641622537702446, 0.07528431345586206]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 10.278118224157009}",-0.024492060588617415,"[-0.12409288072608127, 0.07510875954884644]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.42770830499620704}",-0.18635637677696182,"[-0.4558042519501557, 0.08309149839623209]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.24365700014641997}",-0.19827731823094935,"[-0.4798308539615481, 0.08327621749964942]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.8836597074694355}",-0.16139097601087465,"[-0.40542196441379463, 0.08264001239204533]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.2334805700860019}",-0.1456595984858563,"[-0.37361870161296906, 0.08229950464125646]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.135589606500229}",-0.05945505516112587,"[-0.19774553893965852, 0.07883542861740678]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.0692098656538342}",-0.11640786666399638,"[-0.3143222558637402, 0.08150652253574742]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 92.28295957427436}",0.004472041848533115,"[-0.05224214159424512, 0.06118622529131135]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.202364548436489}",-0.20112720997693678,"[-0.48557227528449265, 0.08331785533061908]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.423282455862012}",-0.18662899124995463,"[-0.45635390610556437, 0.0830959236056551]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.3047393617736388}",-0.1941837153893643,"[-0.4715821864719201, 0.08321475569319148]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 9.105944026265275}",-0.029549210359737454,"[-0.1349816933973469, 0.07588327267787198]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.5752740814116687}",-0.17762770421355706,"[-0.4381998329970651, 0.08294442456995099]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.5057187257477667}",-0.10450440554635759,"[-0.2901125045985189, 0.08110369350580371]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.5410990556767874}",-0.1795888503766762,"[-0.4421561051379541, 0.08297840438460169]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.2998532434945439}",-0.19450596356068267,"[-0.47223159351435995, 0.0832196663929946]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.21435095535798537}",-0.20029289205154688,"[-0.4838915453835453, 0.08330576128045153]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 9.310837957239837}",-0.028582782818155072,"[-0.13291046614316837, 0.07574490050685823]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.2597459914786605}",-0.19718517418802511,"[-0.4776303617229134, 0.08326001334686317]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.3888186473153666}",-0.18877452275274015,"[-0.4606794560781633, 0.083130410572683]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.2769547619045511}",-0.1438731710746491,"[-0.3700038855424548, 0.0822575433931566]",3,1,60,True,
