model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#1,0.200161,0.189632,-0.171328,1.255595,0.231331
N-En,0.173792,0.140225,1.759582,1.416062,0.179482
lgbm_gbdt#2,0.169038,0.152788,1.101082,1.252866,0.192302
lgbm_dart#2,0.164367,0.123338,1.765097,1.315247,0.169357
pls#1,0.15501,0.085575,1.733156,1.0773,0.150046
rf#1,0.127189,0.118347,1.637763,1.458006,0.159743
rf#2,0.125821,0.113794,1.690197,1.436277,0.15081
L-En,0.124164,0.084518,1.817864,1.51026,0.106241
ffn#1,0.121487,0.13813,0.950641,1.249485,0.16457
ffn#2,0.11798,0.138119,0.916608,1.245083,0.163393
pls#2,0.111282,0.087681,1.268696,0.909622,0.143811
pcr#1,0.099032,0.045758,1.724585,1.67801,0.069235
pcr#2,0.099032,0.045758,1.724585,1.67801,0.069235
lgbm_dart#1,0.095012,0.071958,2.01495,1.404758,0.088085
lasso#2,0.091869,0.059167,1.989899,1.504453,0.081276
elasticnet#2,0.090568,0.055177,2.070262,1.514846,0.075236
lasso#1,0.090216,0.058124,1.996932,1.511461,0.079905
elasticnet#1,0.089763,0.055783,2.077287,1.510225,0.076779
ridge#1,-0.255399,0.126022,-1.431422,1.255666,0.066827
ridge#2,-0.258083,0.126416,-1.444567,1.252196,0.067399
