model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
pls#2,0.148489,0.059081,1.472905,1.767944,0.172319
ffn#1,0.134749,0.071318,1.397827,1.805085,0.161506
ffn#2,0.133953,0.071566,1.396051,1.805514,0.161189
rf#2,0.131671,0.069854,1.57793,1.63633,0.153699
N-En,0.130992,0.071091,1.448453,1.705692,0.158601
rf#1,0.128492,0.072119,1.452296,1.473639,0.168575
pls#1,0.127049,0.053594,1.439179,1.900395,0.156137
lgbm_dart#1,0.122335,0.060313,1.453082,1.665169,0.155544
lgbm_dart#2,0.122116,0.070479,1.332116,1.474279,0.169641
lgbm_gbdt#1,0.102765,0.065317,1.375524,1.781722,0.125602
lgbm_gbdt#2,0.100705,0.055396,1.333194,1.371977,0.139688
L-En,0.091573,0.037922,1.610783,2.149822,0.095899
ridge#2,0.085019,0.056102,1.350941,2.018793,0.107856
ridge#1,0.084262,0.055314,1.346331,2.028508,0.106379
pcr#1,0.067697,0.026402,1.762359,2.197252,0.072566
pcr#2,0.067697,0.026402,1.762359,2.197252,0.072566
elasticnet#2,0.057835,0.019913,1.531376,2.311212,0.056202
lasso#2,0.057306,0.018676,1.576409,2.34015,0.054514
lasso#1,0.057183,0.018628,1.577833,2.340769,0.05438
elasticnet#1,0.05386,0.018072,1.583794,2.327313,0.051692
