model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_dart#2,0.300514,-8318.030769,0.648448,-1.519178,0.296192
pcr#1,0.188465,0.0,0.627392,,0.188307
pcr#2,0.188465,0.0,0.627392,,0.188307
N-En,-0.213947,-252.061538,-2.118485,-1.0,-0.213142
lgbm_dart#1,-0.230561,-24323.938462,-0.410046,-1.47343,-0.233823
rf#2,-0.411195,0.0,-2.141542,,-0.411209
rf#1,-0.612411,0.0,-4.673946,,-0.611841
lgbm_gbdt#2,-0.685953,-1008.246154,-1.97858,-1.0,-0.68524
lgbm_gbdt#1,-0.696808,-1008.246154,-1.997891,-1.0,-0.696084
L-En,-1.758742,-4032.984615,-1.740412,-1.0,-1.765035
elasticnet#1,-2.149335,-72593.723077,-1.854203,-1.131012,-2.150761
elasticnet#2,-2.217573,-20164.923077,-1.878693,-1.233588,-2.218502
lasso#2,-2.240278,-4288.984615,-1.87859,-1.066166,-2.2407
lasso#1,-2.241226,-256.0,-1.878277,-1.0,-2.241634
ffn#1,-2.446463,0.0,-3.136771,,-2.442195
ffn#2,-2.589768,0.0,-3.224129,,-2.585597
ridge#1,-3.462654,-64527.753846,-3.500516,-1.0,-3.455976
ridge#2,-3.46651,0.0,-3.545668,,-3.459826
pls#1,-3.591252,-213763.938462,-1.900892,-2.094497,-3.725145
pls#2,-6.122228,0.0,-1.803965,,-6.185971
