model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,16,1.145838,1.461639,3.135762,0.625
N-En,16,1.235421,1.630219,3.031301,0.6875
elasticnet#1,16,1.252045,1.627779,3.076696,0.625
elasticnet#2,16,1.252045,1.627779,3.076696,0.625
ffn#1,16,1.125202,1.424126,3.160401,0.6875
ffn#2,16,1.134789,1.422006,3.192078,0.6875
lasso#1,16,1.254473,1.625808,3.086398,0.625
lasso#2,16,1.252045,1.627779,3.076696,0.625
lgbm_dart#1,16,1.245973,1.6084,3.098665,0.625
lgbm_dart#2,16,1.256457,1.60402,3.133271,0.6875
lgbm_gbdt#1,16,1.216927,1.607153,3.028778,0.625
lgbm_gbdt#2,16,1.201352,1.626964,2.953605,0.625
pcr#1,16,-0.125474,0.735565,-0.682325,0.625
pcr#2,16,-0.125474,0.735565,-0.682325,0.625
pls#1,16,1.086468,1.407368,3.087941,0.6875
pls#2,16,1.128735,1.400414,3.224004,0.75
rf#1,16,1.185541,1.609784,2.945839,0.6875
rf#2,16,1.18716,1.590285,2.986031,0.625
ridge#1,16,1.261738,1.645251,3.067587,0.625
ridge#2,16,1.261738,1.645251,3.067587,0.625
