model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_dart#1,0.230708,0.002402,1.467706,0.572481,0.117379
lgbm_gbdt#2,0.090925,-0.241043,1.120393,0.208057,-0.03045
rf#1,0.085928,-0.048787,0.978789,0.603367,0.040731
rf#2,0.046084,-0.008228,0.747646,0.477846,0.035769
N-En,0.040984,-0.158916,1.051586,0.325398,0.025641
pcr#1,0.031857,-0.001315,0.43363,-1.481647,-0.018267
pcr#2,0.031857,-0.001315,0.43363,-1.481647,-0.018267
lasso#2,-0.081004,0.027027,-1.501285,0.790806,0.033801
lasso#1,-0.081157,0.026938,-1.502518,0.790216,0.033761
elasticnet#2,-0.083932,0.025676,-1.526994,0.782097,0.032875
L-En,-0.08564,0.019309,-1.29003,0.692003,0.028161
elasticnet#1,-0.085843,0.025396,-1.537259,0.779582,0.032409
lgbm_dart#2,-0.098432,-0.278329,0.928604,0.314768,0.01644
lgbm_gbdt#1,-0.271911,-0.590459,0.593386,-0.036806,-0.1848
pls#2,-0.284659,-0.151825,0.394002,0.400973,-0.070028
ffn#1,-0.294407,-0.362971,0.243855,-0.133858,-0.124222
ffn#2,-0.302596,-0.377473,0.249868,-0.15347,-0.129012
ridge#1,-0.556339,-0.040957,-2.48041,-0.111251,-0.186316
ridge#2,-0.560255,-0.041885,-2.486431,-0.122885,-0.188382
pls#1,-1.57218,-0.043228,-1.057359,0.559109,-0.213168
