model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,7,0.290239,0.600265,1.27927,0.571429
N-En,7,0.276884,0.640609,1.143545,0.571429
elasticnet#1,7,0.130377,0.467955,0.737131,0.428571
elasticnet#2,7,0.130377,0.467955,0.737131,0.428571
ffn#1,7,0.397714,0.816584,1.288603,0.571429
ffn#2,7,0.409759,0.810158,1.338161,0.714286
lasso#1,7,0.131478,0.468023,0.743252,0.428571
lasso#2,7,0.131478,0.468023,0.743252,0.428571
lgbm_dart#1,7,0.171775,0.485344,0.936399,0.428571
lgbm_dart#2,7,0.197563,0.498655,1.048225,0.428571
lgbm_gbdt#1,7,0.264561,0.575339,1.216608,0.428571
lgbm_gbdt#2,7,0.213572,0.594621,0.950283,0.285714
pcr#1,7,-0.293937,0.552767,-1.406892,0.285714
pcr#2,7,-0.293937,0.552767,-1.406892,0.285714
pls#1,7,0.21177,0.592898,0.945004,0.285714
pls#2,7,0.295244,0.600675,1.300442,0.571429
rf#1,7,0.235276,0.657228,0.947134,0.428571
rf#2,7,0.086576,0.449254,0.509863,0.428571
ridge#1,7,0.118555,0.449503,0.697806,0.428571
ridge#2,7,0.118424,0.449528,0.696999,0.428571
