feature,coef,intercept
moneyness_std,-0.0,0.21801204032038718
tau,-0.0,0.21801204032038718
is_call,0.0,0.21801204032038718
delta_model,0.0,0.21801204032038718
theta_model,-0.0,0.21801204032038718
gamma_model,0.0,0.21801204032038718
vega_model,-0.0036019084514912407,0.21801204032038718
iv,-0.023117494458315423,0.21801204032038718
log_mid_t,-0.09213485929171206,0.21801204032038718
opt_rel_spread_final,0.15536253488431928,0.21801204032038718
opt_rel_spread_chg,0.001155122812967386,0.21801204032038718
baspread_chg,5.0166692826590135e-17,0.21801204032038718
log_open_interest_opt,-0.0,0.21801204032038718
d_log_open_interest_opt,-0.0028915762672012697,0.21801204032038718
atm_iv,0.06715177193096995,0.21801204032038718
smile_slope,-0.0,0.21801204032038718
convexity_proxy,0.0,0.21801204032038718
rr25_proxy,-0.010423064086965405,0.21801204032038718
bf25_proxy,0.0,0.21801204032038718
ivrv_ratio_pred,-0.0,0.21801204032038718
d_iv_atm,0.03241557382253245,0.21801204032038718
atm_ivchg_proxy,0.0,0.21801204032038718
dist_to_wall,-0.000544826046707914,0.21801204032038718
ddist_to_wall,-0.013170549997975855,0.21801204032038718
gex_proxy,0.011134496795923758,0.21801204032038718
dgex_proxy,-0.0,0.21801204032038718
ddist_to_wall_date,-0.0,0.21801204032038718
dgex_proxy_date,0.0,0.21801204032038718
oi_herf_date,0.0,0.21801204032038718
log_pcr_oi_opt,-0.0,0.21801204032038718
d_log_pcr_oi_opt,0.00976946395065804,0.21801204032038718
rv_chg,-0.022257080802303507,0.21801204032038718
realskew_chg,0.0,0.21801204032038718
fut_baspread_chg,0.0,0.21801204032038718
fut_baspread_z,-0.04270956025757131,0.21801204032038718
log_taker_buy_sell_ratio,-0.0,0.21801204032038718
log1p_taker_buy_volume,0.0,0.21801204032038718
log1p_long_liquidations_usd,0.0,0.21801204032038718
log1p_short_liquidations_usd,0.005953415706844235,0.21801204032038718
d_log_taker_buy_sell_ratio,0.0,0.21801204032038718
d_log1p_taker_buy_volume,0.01050803042123257,0.21801204032038718
d_log1p_long_liquidations_usd,-0.0,0.21801204032038718
d_log1p_short_liquidations_usd,-0.0,0.21801204032038718
basis,0.0,0.21801204032038718
d_basis,-0.0,0.21801204032038718
funding_rates,0.0,0.21801204032038718
d_funding_rates,-0.022943752388561563,0.21801204032038718
log_estimated_leverage_ratio,-0.006977161871555612,0.21801204032038718
d_log_estimated_leverage_ratio,-0.0,0.21801204032038718
log_open_interest,-0.0,0.21801204032038718
d_log_open_interest,-0.0,0.21801204032038718
log_pcr_oi,-0.005594885733709747,0.21801204032038718
d_log_pcr_oi,0.0,0.21801204032038718
futmom_5,0.011095883806491713,0.21801204032038718
futmom_10,-0.0355576364613642,0.21801204032038718
futmom_21,0.0007860521644763111,0.21801204032038718
log1p_spot_inflow_total,0.012433575206161923,0.21801204032038718
log1p_spot_outflow_total,0.0,0.21801204032038718
asinh_spot_netflow_total,0.014231975617896497,0.21801204032038718
log1p_spot_reserve_usd,0.0,0.21801204032038718
log1p_spot_transactions_count_inflow,0.0,0.21801204032038718
log1p_spot_transactions_count_outflow,0.013780617505716544,0.21801204032038718
addresses_count_active,-0.0,0.21801204032038718
d_log1p_spot_inflow_total,0.01004702926646496,0.21801204032038718
d_log1p_spot_outflow_total,-0.0,0.21801204032038718
d_asinh_spot_netflow_total,0.023849817927290996,0.21801204032038718
d_log1p_spot_reserve_usd,0.02290924807792914,0.21801204032038718
d_log1p_spot_transactions_count_inflow,-0.004953637029091872,0.21801204032038718
d_log1p_spot_transactions_count_outflow,-0.0,0.21801204032038718
log1p_der_inflow_total,-0.0,0.21801204032038718
d_log1p_der_inflow_total,0.0,0.21801204032038718
log1p_der_outflow_total,-0.03218624953031249,0.21801204032038718
d_log1p_der_outflow_total,0.0,0.21801204032038718
asinh_der_netflow_total,-0.0,0.21801204032038718
d_asinh_der_netflow_total,-0.015461160725368923,0.21801204032038718
d_funding_rates_x_mny,0.007511306128507868,0.21801204032038718
d_funding_rates_x_tau,0.01556415172297423,0.21801204032038718
d_log1p_spot_inflow_total_x_mny,-0.01480694770809187,0.21801204032038718
d_log1p_spot_inflow_total_x_tau,-0.0,0.21801204032038718
d_log_open_interest_x_mny,-0.0,0.21801204032038718
d_log_open_interest_x_tau,-0.0,0.21801204032038718
d_log_pcr_oi_x_mny,0.013836977639493419,0.21801204032038718
d_log_pcr_oi_x_tau,0.0,0.21801204032038718
