model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,13,3.070316,3.881626,2.851944,0.692308
N-En,13,3.145534,3.978501,2.850667,0.692308
elasticnet#1,13,2.949376,3.870009,2.74783,0.769231
elasticnet#2,13,3.021274,3.892965,2.798216,0.769231
ffn#1,13,3.163388,4.00712,2.846373,0.692308
ffn#2,13,3.163388,4.00712,2.846373,0.692308
lasso#1,13,2.793907,3.78518,2.66132,0.769231
lasso#2,13,2.793907,3.78518,2.66132,0.769231
lgbm_dart#1,13,3.014127,3.661515,2.968059,0.615385
lgbm_dart#2,13,3.254183,4.103276,2.859452,0.692308
lgbm_gbdt#1,13,3.249396,4.107841,2.852073,0.769231
lgbm_gbdt#2,13,3.024736,3.714867,2.935728,0.692308
pcr#1,13,2.463246,2.947425,3.013261,0.692308
pcr#2,13,2.463246,2.947425,3.013261,0.692308
pls#1,13,3.074288,3.743352,2.961117,0.692308
pls#2,13,2.984882,3.686829,2.919079,0.692308
rf#1,13,3.119865,3.87787,2.900776,0.692308
rf#2,13,3.119865,3.87787,2.900776,0.692308
ridge#1,13,2.94694,3.854286,2.75676,0.692308
ridge#2,13,2.94694,3.854286,2.75676,0.692308
