model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_dart#1,0.190387,0.136188,1.643374,1.846042,0.188143,0.190387
pls#1,0.173655,0.131391,1.417555,1.451105,0.169501,0.173655
rf#1,0.164234,0.113059,1.66502,1.814358,0.164196,0.164234
rf#2,0.164123,0.112186,1.669293,1.829199,0.164984,0.164123
N-En,0.151431,0.110732,1.648024,1.909026,0.15245,0.151431
pls#2,0.147829,0.130311,1.344923,1.426641,0.148704,0.147829
ffn#1,0.132562,0.129985,0.961437,1.41533,0.133474,0.132562
ffn#2,0.128691,0.131626,0.922965,1.400709,0.129224,0.128691
lgbm_dart#2,0.126838,0.092355,1.840046,2.101293,0.126668,0.126838
L-En,0.103652,0.078281,1.630195,1.842349,0.104402,0.103652
pcr#1,0.09236,0.044586,1.449206,1.957563,0.088376,0.09236
pcr#2,0.09236,0.044586,1.449206,1.957563,0.088376,0.09236
lgbm_gbdt#2,0.087309,0.051303,1.81197,2.225015,0.08648,0.087309
lgbm_gbdt#1,0.087279,0.051286,1.811804,2.225352,0.086446,0.087279
ridge#2,0.086915,0.079301,1.652696,1.843111,0.09082,0.086915
ridge#1,0.08607,0.078408,1.650502,1.843024,0.089974,0.08607
lasso#2,0.074687,0.056524,1.554465,1.949772,0.075682,0.074687
lasso#1,0.074664,0.056481,1.554474,1.94986,0.075656,0.074664
elasticnet#2,0.073492,0.057215,1.56622,1.948672,0.074777,0.073492
elasticnet#1,0.0704,0.057363,1.584663,1.947324,0.072029,0.0704
