model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_dart#1,0.048883,0.056462,1.27315,1.150302,0.190387
lgbm_dart#2,0.038275,0.039889,1.560497,1.331247,0.126838
rf#1,0.020001,0.037913,0.7206,0.881801,0.164234
N-En,0.009981,0.044035,0.613785,1.087099,0.151431
rf#2,0.009409,0.036143,0.528107,0.879722,0.164123
lgbm_gbdt#2,0.006254,0.016925,1.209131,1.170689,0.087309
lgbm_gbdt#1,0.006119,0.01682,1.198135,1.165741,0.087279
pcr#2,-0.003419,0.025554,0.263693,1.205455,0.09236
pcr#1,-0.003419,0.025554,0.263693,1.205455,0.09236
L-En,-0.007411,0.021365,0.277694,0.724649,0.103652
elasticnet#1,-0.029944,0.007028,-0.449561,0.473905,0.0704
elasticnet#2,-0.031279,0.005938,-0.517297,0.428887,0.073492
lasso#1,-0.031382,0.00517,-0.548865,0.395648,0.074664
lasso#2,-0.031385,0.005204,-0.548103,0.397053,0.074687
pls#1,-0.052332,0.012147,-0.155384,0.339946,0.173655
ridge#1,-0.056968,0.013204,-0.517654,0.600645,0.08607
ridge#2,-0.057132,0.013338,-0.516228,0.602686,0.086915
pls#2,-0.068187,-0.000656,-0.434767,0.251414,0.147829
ffn#1,-0.174328,-0.006065,-1.102362,0.173092,0.132562
ffn#2,-0.1861,-0.006191,-1.129186,0.178841,0.128691
