model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,12,1.196242,1.745654,2.373842,0.75
N-En,12,1.209669,1.743692,2.403185,0.75
elasticnet#1,12,1.196193,1.744447,2.375387,0.75
elasticnet#2,12,1.196193,1.744447,2.375387,0.75
ffn#1,12,1.209669,1.743692,2.403185,0.75
ffn#2,12,1.209669,1.743692,2.403185,0.75
lasso#1,12,1.196189,1.74311,2.3772,0.75
lasso#2,12,1.179659,1.746934,2.339218,0.75
lgbm_dart#1,12,1.198227,1.750837,2.370739,0.75
lgbm_dart#2,12,1.211334,1.743311,2.40702,0.75
lgbm_gbdt#1,12,1.186279,1.719136,2.390381,0.666667
lgbm_gbdt#2,12,1.227156,1.740063,2.443011,0.75
pcr#1,12,1.209669,1.743692,2.403185,0.75
pcr#2,12,1.209669,1.743692,2.403185,0.75
pls#1,12,1.209669,1.743692,2.403185,0.75
pls#2,12,1.209669,1.743692,2.403185,0.75
rf#1,12,1.198366,1.742776,2.381983,0.75
rf#2,12,1.196261,1.744318,2.375696,0.75
ridge#1,12,1.195191,1.743485,2.374705,0.75
ridge#2,12,1.195191,1.743485,2.374705,0.75
