model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,14,2.441025,4.636427,1.969939,0.642857
N-En,14,2.46848,4.736645,1.949947,0.642857
elasticnet#1,14,2.237718,4.125221,2.029654,0.642857
elasticnet#2,14,2.234538,4.11729,2.030675,0.642857
ffn#1,14,2.43215,4.641048,1.960823,0.642857
ffn#2,14,2.432106,4.641031,1.960795,0.642857
lasso#1,14,2.234817,4.117089,2.031027,0.642857
lasso#2,14,2.234817,4.117089,2.031027,0.642857
lgbm_dart#1,14,2.440996,4.698808,1.943763,0.642857
lgbm_dart#2,14,2.424148,4.598811,1.972321,0.642857
lgbm_gbdt#1,14,2.350347,3.997649,2.199842,0.571429
lgbm_gbdt#2,14,2.350347,3.997649,2.199842,0.571429
pcr#1,14,2.43491,4.637563,1.964523,0.642857
pcr#2,14,2.43491,4.637563,1.964523,0.642857
pls#1,14,2.43524,4.640135,1.9637,0.642857
pls#2,14,2.43565,4.640294,1.963964,0.642857
rf#1,14,2.454086,4.696408,1.955186,0.642857
rf#2,14,2.415116,4.59637,1.966016,0.642857
ridge#1,14,2.476298,4.694147,1.973832,0.642857
ridge#2,14,2.475253,4.694859,1.9727,0.642857
