model,family,is_ensemble,member_of,member_rank,estimator,params_json
ffn#1,nonlinear,False,,,Pipeline,"{""ffn__activation"": ""relu"", ""ffn__batch_size"": 128, ""ffn__device"": ""auto"", ""ffn__hidden_width"": 32, ""ffn__huber_delta"": 1.0, ""ffn__learning_rate"": 0.0001, ""ffn__loss"": ""mse"", ""ffn__max_epochs"": 100, ""ffn__n_hidden_layers"": 1, ""ffn__patience"": 10, ""ffn__seed"": 0, ""ffn__val_split"": 0.1, ""ffn__dropout"": 0.468615765286463, ""ffn__weight_decay"": 0.08621629256846254}"
ffn#2,nonlinear,False,,,Pipeline,"{""ffn__activation"": ""relu"", ""ffn__batch_size"": 64, ""ffn__device"": ""auto"", ""ffn__hidden_width"": 32, ""ffn__huber_delta"": 1.0, ""ffn__learning_rate"": 0.0001, ""ffn__loss"": ""mse"", ""ffn__max_epochs"": 100, ""ffn__n_hidden_layers"": 1, ""ffn__patience"": 10, ""ffn__seed"": 0, ""ffn__val_split"": 0.1, ""ffn__dropout"": 0.49651215141776783, ""ffn__weight_decay"": 0.0015998881492631496}"
rf#1,nonlinear,False,,,RandomForestRegressor,"{""bootstrap"": true, ""max_depth"": 8, ""max_features"": ""sqrt"", ""max_samples"": 0.8, ""min_samples_leaf"": 20, ""n_estimators"": 100}"
rf#2,nonlinear,False,,,RandomForestRegressor,"{""bootstrap"": true, ""max_depth"": 8, ""max_features"": ""log2"", ""max_samples"": 0.6, ""min_samples_leaf"": 20, ""n_estimators"": 200}"
lgbm_gbdt#1,nonlinear,False,,,LGBMRegressor,"{""bagging_freq"": 1, ""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_bin"": 63, ""max_depth"": 4, ""min_child_samples"": 100, ""n_estimators"": 200, ""num_leaves"": 15, ""subsample"": 0.8, ""verbosity"": -1, ""reg_alpha"": 0.14811230193442643, ""reg_lambda"": 0.12966915042890778}"
lgbm_gbdt#2,nonlinear,False,,,LGBMRegressor,"{""bagging_freq"": 1, ""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_bin"": 63, ""max_depth"": 6, ""min_child_samples"": 50, ""n_estimators"": 200, ""num_leaves"": 31, ""subsample"": 0.6, ""verbosity"": -1, ""reg_alpha"": 1.2753898599202926, ""reg_lambda"": 0.213737596049905}"
lgbm_dart#1,nonlinear,False,,,LGBMRegressor,"{""bagging_freq"": 1, ""colsample_bytree"": 0.8, ""drop_rate"": 0.2, ""learning_rate"": 0.05, ""max_bin"": 63, ""max_depth"": 4, ""max_drop"": 10, ""min_child_samples"": 100, ""min_child_weight"": 0.1, ""min_split_gain"": 0.1, ""n_estimators"": 200, ""num_leaves"": 7, ""skip_drop"": 0.3, ""subsample"": 0.8, ""verbosity"": -1, ""reg_alpha"": 2.9412232239026928, ""reg_lambda"": 47.268087682464916}"
lgbm_dart#2,nonlinear,False,,,LGBMRegressor,"{""bagging_freq"": 1, ""colsample_bytree"": 0.6, ""drop_rate"": 0.3, ""learning_rate"": 0.05, ""max_bin"": 127, ""max_depth"": 6, ""max_drop"": 20, ""min_child_samples"": 100, ""min_child_weight"": 0.1, ""min_split_gain"": 0.1, ""n_estimators"": 200, ""num_leaves"": 31, ""skip_drop"": 0.3, ""subsample"": 0.8, ""verbosity"": -1, ""reg_alpha"": 0.11331543612010862, ""reg_lambda"": 5.912295566997817}"
