model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#1,0.128378,0.088885,0.938817,1.425894,0.177204
lgbm_gbdt#2,0.10985,0.074913,0.905997,1.413741,0.154906
lgbm_dart#1,0.108337,0.084101,1.212928,1.570026,0.150488
N-En,0.107457,0.078612,1.075338,1.507302,0.151336
lgbm_dart#2,0.096506,0.074091,1.071662,1.398644,0.162744
rf#2,0.092799,0.078654,1.104192,1.538095,0.143866
rf#1,0.085541,0.067416,0.861391,1.485386,0.158517
pls#1,0.082331,0.042232,1.020201,1.560066,0.12072
L-En,0.079331,0.053905,1.384329,1.771491,0.081081
pls#2,0.075814,0.020333,1.049217,1.432771,0.117455
ffn#1,0.072127,0.054034,1.110511,1.462623,0.111132
ffn#2,0.06115,0.042597,1.097654,1.436715,0.104014
pcr#1,0.049279,0.046577,1.410229,1.925716,0.072624
pcr#2,0.049279,0.046577,1.410229,1.925716,0.072624
lasso#2,0.046994,0.043798,1.377816,1.790574,0.06224
lasso#1,0.046349,0.043571,1.375539,1.793258,0.061882
elasticnet#2,0.039664,0.040892,1.379081,1.883761,0.056029
elasticnet#1,0.039496,0.040189,1.403957,1.927217,0.053939
ridge#1,-0.033515,0.04773,0.518973,1.662091,0.047203
ridge#2,-0.035081,0.047271,0.510754,1.660674,0.047332
