model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,1,0.628717,,,1.0
N-En,1,0.656155,,,1.0
elasticnet#1,1,0.252605,,,1.0
elasticnet#2,1,0.252605,,,1.0
ffn#1,1,0.252605,,,1.0
ffn#2,1,0.252605,,,1.0
lasso#1,1,0.252605,,,1.0
lasso#2,1,0.252605,,,1.0
lgbm_dart#1,1,1.021045,,,1.0
lgbm_dart#2,1,0.656155,,,1.0
lgbm_gbdt#1,1,0.656155,,,1.0
lgbm_gbdt#2,1,0.656155,,,1.0
pcr#1,1,-0.644476,,,0.0
pcr#2,1,-0.644476,,,0.0
pls#1,1,0.628717,,,1.0
pls#2,1,1.00434,,,1.0
rf#1,1,1.012028,,,1.0
rf#2,1,0.620483,,,1.0
ridge#1,1,0.252605,,,1.0
ridge#2,1,0.252605,,,1.0
