model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#2,0.044551,0.050451,2.362681,2.746951,0.106595
lgbm_dart#1,0.035794,0.059204,1.979565,2.201387,0.142303
N-En,0.032016,0.054643,1.726239,2.228425,0.137718
L-En,0.025991,0.043519,2.041253,2.349339,0.108974
pcr#2,0.015048,0.031105,2.146569,2.824757,0.075081
rf#1,0.013761,0.038527,1.25371,1.683011,0.139011
elasticnet#2,0.000532,0.035836,1.663959,2.441743,0.093103
lasso#1,-0.001907,0.035158,1.603876,2.444052,0.093495
ridge#2,-0.096691,0.035139,-1.055115,2.196777,0.090391
pls#1,-0.103942,-0.00777,-0.259277,0.597724,0.131817
ffn#1,-0.17802,-0.036344,-1.342094,0.071424,0.096388
