model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_dart#1,0.142303,0.111132,2.778753,3.277814,0.141379,0.142303
rf#1,0.139011,0.119085,2.707331,3.285455,0.146241,0.139011
N-En,0.137718,0.114469,3.06472,3.779746,0.140675,0.137718
pls#1,0.131817,0.108113,2.372694,3.084708,0.126884,0.131817
L-En,0.108974,0.086307,3.691491,4.363826,0.108862,0.108974
lgbm_gbdt#2,0.106595,0.083136,3.752534,4.091765,0.113805,0.106595
ffn#1,0.096388,0.116937,1.550797,2.877746,0.09657,0.096388
lasso#1,0.093495,0.074743,3.792555,4.601323,0.096988,0.093495
elasticnet#2,0.093103,0.074466,3.803746,4.542411,0.096873,0.093103
ridge#2,0.090391,0.097619,3.163101,4.332747,0.088421,0.090391
pcr#2,0.075081,0.038379,3.103971,4.275827,0.071207,0.075081
