model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,5,4.007492,5.888785,1.52171,0.4
N-En,5,4.099057,6.069101,1.510235,0.4
elasticnet#1,5,4.10167,6.066807,1.511769,0.4
elasticnet#2,5,4.10167,6.066807,1.511769,0.4
ffn#1,5,3.841245,5.529851,1.553258,0.6
ffn#2,5,3.824195,5.544704,1.542221,0.4
lasso#1,5,4.10167,6.066807,1.511769,0.4
lasso#2,5,4.10167,6.066807,1.511769,0.4
lgbm_dart#1,5,4.009027,5.887468,1.522634,0.4
lgbm_dart#2,5,4.103003,6.065675,1.512543,0.4
lgbm_gbdt#1,5,3.816391,5.535708,1.541575,0.4
lgbm_gbdt#2,5,4.104051,6.064766,1.513156,0.4
pcr#1,5,4.007492,5.888785,1.52171,0.4
pcr#2,5,4.007492,5.888785,1.52171,0.4
pls#1,5,3.728482,5.375216,1.551033,0.4
pls#2,5,3.403953,4.810787,1.582167,0.4
rf#1,5,4.009689,5.886891,1.523034,0.4
rf#2,5,4.008825,5.887645,1.522511,0.4
ridge#1,5,4.103003,6.065675,1.512543,0.4
ridge#2,5,4.103003,6.065675,1.512543,0.4
