model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
N-En,0.129499,0.079392,2.740584,3.281996,0.159884
lgbm_gbdt#2,0.126775,0.075486,2.338313,2.525378,0.158891
ffn#1,0.124837,0.075999,2.799748,3.407718,0.157341
lgbm_dart#2,0.12393,0.073129,2.513969,3.07839,0.158634
rf#1,0.123673,0.091786,2.526725,3.050348,0.171298
pls#2,0.113535,0.059767,2.757689,3.499056,0.150579
L-En,0.082817,0.038857,3.413585,4.096802,0.094036
ridge#2,0.08107,0.059549,2.869103,4.001679,0.101042
pcr#2,0.059667,0.024978,3.604026,4.244571,0.070532
lasso#2,0.057604,0.02094,3.308206,3.911654,0.062738
elasticnet#1,0.057225,0.021559,3.460909,3.94691,0.061945
