model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
rf#2,0.391833,-0.084426,0.3773,-1.0,0.140505
lasso#1,0.161802,0.139462,0.124834,1.0,0.116844
lasso#2,0.160953,0.138734,0.124036,1.0,0.116269
elasticnet#2,0.084083,0.408385,-0.243782,1.0,-0.011161
pcr#1,0.074311,-0.008678,0.293457,-1.0,0.055799
pcr#2,0.074311,-0.008678,0.293457,-1.0,0.055799
elasticnet#1,0.050208,0.413423,-0.307163,1.0,-0.045816
L-En,-0.124424,0.137745,-0.730563,1.0,-0.187128
rf#1,-0.614023,-0.497831,-1.539032,-1.0,-0.917043
lgbm_dart#1,-0.84034,-2.265584,-2.642417,-1.0,-1.750224
ridge#1,-1.364026,0.591056,-1.841684,1.0,-1.729411
ridge#2,-1.412918,0.591121,-1.874682,1.0,-1.78601
N-En,-1.579359,-1.55817,-1.886841,-1.0,-2.225869
ffn#2,-2.785861,0.546524,-2.466158,1.0,-3.267693
ffn#1,-2.837011,0.549272,-2.47672,1.0,-3.321786
lgbm_gbdt#1,-3.978151,-4.536973,-1.725684,-1.0,-5.300969
lgbm_gbdt#2,-4.097194,-5.354841,-2.456728,-1.0,-5.515876
lgbm_dart#2,-6.511131,-5.271951,-2.447574,-1.0,-8.659278
pls#1,-7.397284,-0.402012,-2.166989,-1.0,-8.447076
pls#2,-9.053035,-1.026003,-2.736444,-1.0,-10.12915
