model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
L-En,0.028887,0.027969,1.203239,1.13394,0.096538
ridge#2,0.022368,0.029026,1.069943,1.217704,0.087606
ridge#1,0.022315,0.028974,1.068137,1.217523,0.087449
elasticnet#2,0.019725,0.026167,1.023261,1.275935,0.074462
lgbm_dart#2,0.019544,0.020883,0.821835,0.60388,0.086769
elasticnet#1,0.018299,0.025508,0.969785,1.232948,0.074816
ffn#2,0.016718,0.057503,0.303208,0.963215,0.185652
lasso#1,0.015715,0.024244,0.878005,1.155062,0.075552
lasso#2,0.014827,0.023787,0.855283,1.13414,0.075561
N-En,0.013176,0.039111,0.332646,0.750473,0.172156
pcr#1,0.006843,0.012517,0.601455,1.071795,0.050489
pcr#2,0.006843,0.012517,0.601455,1.071795,0.050489
rf#2,-0.001009,0.038152,0.118943,0.639214,0.180543
pls#2,-0.00306,0.024496,-0.002304,0.554928,0.170053
pls#1,-0.007118,0.005428,-0.069921,0.203762,0.167105
lgbm_dart#1,-0.012512,0.00521,-0.20955,-0.009394,0.191913
rf#1,-0.016337,0.038628,-0.292931,0.650458,0.191873
ffn#1,-0.021244,0.054767,-0.249472,0.932492,0.183801
lgbm_gbdt#2,-0.026555,-0.011792,-0.510784,-0.382434,0.139917
lgbm_gbdt#1,-0.06469,-0.034466,-1.043809,-0.796266,0.162003
