model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_dart#1,0.191913,0.149652,1.963014,2.139662,0.191864,0.191913
rf#1,0.191873,0.15122,1.829037,2.127431,0.18984,0.191873
ffn#2,0.185652,0.132825,1.714082,2.032123,0.187671,0.185652
ffn#1,0.183801,0.131355,1.634617,2.024176,0.187293,0.183801
rf#2,0.180543,0.136078,1.933235,2.19219,0.179456,0.180543
N-En,0.172156,0.129971,1.927255,2.171362,0.171961,0.172156
pls#2,0.170053,0.109247,1.802839,2.008882,0.170783,0.170053
pls#1,0.167105,0.111024,1.824339,2.002905,0.167092,0.167105
lgbm_gbdt#1,0.162003,0.131152,1.821986,1.916013,0.161347,0.162003
lgbm_gbdt#2,0.139917,0.112352,1.914654,1.999491,0.139198,0.139917
L-En,0.096538,0.060992,2.104295,2.353421,0.096231,0.096538
ridge#2,0.087606,0.054141,2.11665,2.377163,0.086944,0.087606
ridge#1,0.087449,0.054049,2.11663,2.377612,0.086801,0.087449
lgbm_dart#2,0.086769,0.063135,2.05376,2.230808,0.086122,0.086769
lasso#2,0.075561,0.047769,2.119043,2.407209,0.075609,0.075561
lasso#1,0.075552,0.047788,2.117404,2.406808,0.075616,0.075552
elasticnet#1,0.074816,0.047461,2.123283,2.415797,0.074878,0.074816
elasticnet#2,0.074462,0.047189,2.126428,2.420342,0.074525,0.074462
pcr#1,0.050489,0.031863,2.208743,2.532947,0.049631,0.050489
pcr#2,0.050489,0.031863,2.208743,2.532947,0.049631,0.050489
