model,IC_mean,IC_std,N
L-En,-0.6214285714285714,,1
N-En,-0.8642857142857144,,1
elasticnet#1,-0.38571428571428573,,1
elasticnet#2,-0.3392857142857143,,1
ffn#1,-0.8642857142857144,,1
ffn#2,-0.8642857142857144,,1
lasso#1,-0.3392857142857143,,1
lasso#2,-0.3392857142857143,,1
lgbm_dart#1,-0.762076353565438,,1
lgbm_dart#2,-0.9517009861427536,,1
lgbm_gbdt#1,0.6546536707079771,,1
lgbm_gbdt#2,0.6546536707079771,,1
pcr#1,-0.8142857142857143,,1
pcr#2,-0.8142857142857143,,1
pls#1,-0.8142857142857143,,1
pls#2,-0.8214285714285716,,1
rf#1,-0.2535714285714286,,1
rf#2,-0.2591600677389407,,1
ridge#1,-0.2535714285714285,,1
ridge#2,-0.2535714285714285,,1
