model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_dart#2,0.136567,0.116574,1.828751,1.926323,0.129596,0.136567
ffn#2,0.135968,0.13632,1.760883,2.075647,0.1124,0.135968
ffn#1,0.134698,0.134657,1.765865,2.07658,0.111666,0.134698
rf#1,0.132872,0.119439,1.902574,2.099998,0.126515,0.132872
lgbm_gbdt#1,0.130905,0.119984,1.837161,1.950033,0.128044,0.130905
N-En,0.127063,0.11613,1.982263,2.177329,0.117177,0.127063
pls#2,0.122158,0.11893,1.760547,2.15897,0.105735,0.122158
lgbm_gbdt#2,0.113567,0.09832,1.765497,1.967973,0.109454,0.113567
rf#2,0.111324,0.098247,2.011105,2.207239,0.105014,0.111324
pls#1,0.099581,0.072511,1.685227,2.560947,0.089955,0.099581
lgbm_dart#1,0.098609,0.087008,1.982511,2.169165,0.091957,0.098609
L-En,0.052532,0.049524,2.390302,2.622735,0.045642,0.052532
lasso#2,0.04118,0.038929,2.395278,2.606753,0.035499,0.04118
lasso#1,0.041133,0.038936,2.395675,2.606777,0.03545,0.041133
elasticnet#2,0.040273,0.03887,2.400947,2.608469,0.034587,0.040273
elasticnet#1,0.04012,0.03893,2.400634,2.608146,0.034414,0.04012
ridge#2,0.037813,0.058184,0.846398,2.525258,0.02264,0.037813
ridge#1,0.037774,0.057976,0.855515,2.525465,0.022728,0.037774
pcr#2,-0.005726,-0.000354,-2.249057,-2.169388,-0.005564,-0.005726
pcr#1,-0.005726,-0.000354,-2.249057,-2.169388,-0.005564,-0.005726
