model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_dart#2,0.019235,0.012951,-0.486699,1.358891,-0.039677,0.019235
lgbm_gbdt#2,0.018438,0.021186,-0.658497,1.508656,-0.087178,0.018438
lgbm_dart#1,0.014906,0.015948,-0.505728,1.379316,-0.030866,0.014906
rf#2,0.013641,0.017932,0.341519,1.375773,0.011254,0.013641
lgbm_gbdt#1,0.00916,0.018629,-0.705793,1.234111,-0.090718,0.00916
N-En,0.008712,0.018069,-0.401107,1.328435,-0.027995,0.008712
rf#1,0.005236,0.016003,1.416198,1.291031,0.010957,0.005236
pcr#1,-0.006684,5e-05,-1.20725,-0.21019,-0.01201,-0.006684
pcr#2,-0.006684,5e-05,-1.207252,-0.210191,-0.01201,-0.006684
L-En,-0.016992,-0.004816,-0.102153,0.125549,-0.003212,-0.016992
elasticnet#1,-0.017212,-0.001592,-0.052797,0.220862,-0.001552,-0.017212
elasticnet#2,-0.019883,-0.003052,-0.1271,0.109495,-0.003858,-0.019883
lasso#1,-0.021429,-0.004476,-0.118625,-0.022286,-0.003716,-0.021429
lasso#2,-0.0222,-0.004956,-0.09719,-0.072697,-0.003083,-0.0222
ridge#1,-0.090984,-0.001685,-1.430621,0.253878,-0.074715,-0.090984
ridge#2,-0.092101,-0.001763,-1.442469,0.248964,-0.07579,-0.092101
pls#2,-0.110367,-0.047934,-1.754757,-0.720204,-0.129307,-0.110367
pls#1,-0.130502,-0.067341,-1.453708,-1.10685,-0.11442,-0.130502
ffn#2,-0.137369,-0.007473,-1.150826,0.092912,-0.154595,-0.137369
ffn#1,-0.141266,-0.009683,-1.160764,0.025565,-0.158126,-0.141266
