model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,13,1.851054,3.265637,2.043726,0.615385
N-En,13,1.851399,3.261463,2.046724,0.615385
elasticnet#1,13,1.85022,3.263773,2.043973,0.615385
ffn#1,13,1.853857,3.260971,2.049751,0.615385
lasso#2,13,1.85022,3.263773,2.043973,0.615385
lgbm_dart#2,13,1.83774,3.271026,2.025684,0.615385
lgbm_gbdt#2,13,1.844393,3.266688,2.035717,0.615385
pcr#2,13,1.850278,3.26614,2.042556,0.615385
pls#2,13,1.850313,3.266334,2.042473,0.615385
rf#1,13,1.858366,3.257756,2.056763,0.615385
ridge#2,13,1.850547,3.264503,2.043876,0.615385
