model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#1,0.130669,0.096723,1.95456,2.09564,0.207168
N-En,0.121426,0.083797,1.842593,2.439337,0.17389
pls#1,0.121241,0.082652,1.637892,1.686143,0.183869
lgbm_dart#2,0.117993,0.075691,1.947174,2.430796,0.160015
rf#2,0.117866,0.068116,1.91999,2.264941,0.169426
pls#2,0.116533,0.070398,1.653432,1.773514,0.173503
lgbm_gbdt#2,0.11155,0.074491,1.966129,2.144289,0.161175
rf#1,0.110196,0.065209,2.007879,2.515059,0.158123
ffn#1,0.103564,0.085922,1.385879,1.911797,0.173867
ffn#2,0.102762,0.085577,1.382222,1.906524,0.172667
lgbm_dart#1,0.100686,0.069512,1.954177,2.58734,0.144015
L-En,0.065498,0.036688,1.935615,2.550189,0.084099
lasso#2,0.055225,0.025004,1.924188,2.970524,0.069583
lasso#1,0.051874,0.025215,1.90797,2.986999,0.067078
ridge#2,0.04769,0.028688,1.688992,2.571386,0.077163
elasticnet#2,0.04762,0.025643,1.864603,2.989555,0.064116
ridge#1,0.047618,0.028689,1.686883,2.577759,0.076979
elasticnet#1,0.04684,0.025123,1.852952,2.991695,0.063137
pcr#1,-0.004411,-0.000349,-1.516779,-1.379808,-0.004024
pcr#2,-0.004411,-0.000349,-1.516777,-1.379808,-0.004024
