model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,7,1.600474,2.096297,2.019969,0.857143
N-En,7,1.61164,2.133186,1.998888,0.714286
elasticnet#2,7,1.361999,2.205768,1.633676,0.714286
ffn#1,7,1.905863,2.104113,2.396468,0.857143
lasso#2,7,1.353042,2.214557,1.616491,0.714286
lgbm_dart#2,7,1.941964,2.863448,1.794324,0.714286
lgbm_gbdt#1,7,1.546473,2.238345,1.82795,0.714286
pcr#1,7,0.557163,2.221284,0.663632,0.285714
pls#2,7,1.894255,2.104725,2.38118,0.857143
rf#2,7,1.572032,2.227793,1.866962,0.714286
ridge#1,7,1.995138,2.816407,1.874245,0.714286
