group,model,ic
2023-05-01,ridge#1,0.3391025641025641
2023-05-02,ridge#1,-0.2200091575091575
2023-05-03,ridge#1,-0.3308655032610615
2023-05-04,ridge#1,0.6895420369104581
2023-05-05,ridge#1,0.21794871794871795
2023-05-08,ridge#1,0.25675213675213665
2023-05-09,ridge#1,-0.03381113907429703
2023-05-10,ridge#1,0.40505226480836237
2023-05-11,ridge#1,0.08348834664624144
2023-05-12,ridge#1,-0.30700280112044803
2023-05-15,ridge#1,-0.07300867028603844
2023-05-16,ridge#1,0.07145299145299149
2023-05-17,ridge#1,0.24675324675324672
2023-05-18,ridge#1,0.5294117647058825
2023-05-01,ridge#2,0.3391025641025641
2023-05-02,ridge#2,-0.22010073260073265
2023-05-03,ridge#2,-0.3308655032610615
2023-05-04,ridge#2,0.690157211209843
2023-05-05,ridge#2,0.21794871794871795
2023-05-08,ridge#2,0.25675213675213665
2023-05-09,ridge#2,-0.03381113907429703
2023-05-10,ridge#2,0.4104529616724737
2023-05-11,ridge#2,0.08348834664624144
2023-05-12,ridge#2,-0.30700280112044803
2023-05-15,ridge#2,-0.07884288145207034
2023-05-16,ridge#2,0.07145299145299149
2023-05-17,ridge#2,0.24675324675324672
2023-05-18,ridge#2,0.5294117647058825
2023-05-01,lasso#1,0.2730311355311356
2023-05-02,lasso#1,-0.1556776556776557
2023-05-03,lasso#1,-0.32653420966482855
2023-05-04,lasso#1,0.6741626794258372
2023-05-05,lasso#1,0.2313797313797313
2023-05-08,lasso#1,0.47145299145299147
2023-05-09,lasso#1,-0.11018711018711023
2023-05-10,lasso#1,0.35836236933797894
2023-05-11,lasso#1,0.04759820549294235
2023-05-12,lasso#1,-0.38571428571428573
2023-05-15,lasso#1,0.04205493882181351
2023-05-16,lasso#1,0.08581196581196586
2023-05-17,lasso#1,0.20722755505364193
2023-05-18,lasso#1,0.5970588235294118
2023-05-01,lasso#2,0.28195970695970685
2023-05-02,lasso#2,-0.15883699633699636
2023-05-03,lasso#2,-0.33000931731761984
2023-05-04,lasso#2,0.6825700615174303
2023-05-05,lasso#2,0.20329670329670327
2023-05-08,lasso#2,0.4625641025641028
2023-05-09,lasso#2,-0.10384068278805124
2023-05-10,lasso#2,0.37595818815331
2023-05-11,lasso#2,0.05875916402232193
