model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_dart#2,0.028095,0.025482,-0.652526,1.961749,0.010114
N-En,0.022824,0.017543,-0.240188,1.136809,0.021491
lgbm_gbdt#2,0.01488,0.003246,-0.506869,0.762704,0.022219
lgbm_gbdt#1,0.006215,0.02025,-0.592643,1.571435,-0.003577
rf#2,0.000889,0.007821,-0.594764,0.817488,0.009839
L-En,0.000484,-0.003557,0.466418,0.68387,-0.002146
pcr#2,-0.000235,-0.000152,-0.941987,-1.620797,-0.006776
pcr#1,-0.000235,-0.000152,-0.941987,-1.620797,-0.006776
rf#1,-0.002433,0.01731,0.038032,1.348636,0.021808
elasticnet#1,-0.009558,-0.004446,0.590613,0.414206,0.001724
lasso#1,-0.018031,-0.007982,0.364393,0.107878,-0.00304
elasticnet#2,-0.018999,-0.007697,0.356538,0.103636,-0.003951
lasso#2,-0.020029,-0.007672,0.340646,0.103881,-0.004859
lgbm_dart#1,-0.023136,0.009534,-0.997779,0.515675,-0.026673
ffn#2,-0.02987,-0.008493,-0.475071,0.132358,-0.040987
ffn#1,-0.032201,-0.011076,-0.415051,0.196171,-0.028609
pls#2,-0.070271,-0.043878,-1.466283,-0.026779,-0.102774
ridge#1,-0.083151,0.000752,-1.601796,0.773295,-0.082388
ridge#2,-0.084292,0.000768,-1.612325,0.774156,-0.083661
pls#1,-0.09425,-0.052148,-1.249002,-0.284081,-0.112259
