model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_gbdt#1,0.175102,0.077933,0.607425,0.724279,0.168158,0.175102
rf#1,0.170527,0.123603,0.686309,0.924577,0.162927,0.170527
lgbm_dart#2,0.167699,0.082352,0.723312,0.733022,0.184624,0.167699
lgbm_gbdt#2,0.161185,0.079147,0.650479,0.824014,0.168208,0.161185
N-En,0.157353,0.096274,0.768938,0.990103,0.168864,0.157353
lgbm_dart#1,0.156056,0.068518,0.954692,0.94484,0.168846,0.156056
rf#2,0.142003,0.093836,0.729646,0.90016,0.145512,0.142003
pls#2,0.120915,0.073281,0.825419,1.17197,0.129902,0.120915
pls#1,0.120682,0.068216,0.836225,1.292167,0.130581,0.120682
ffn#1,0.120062,0.094252,0.821075,1.027256,0.138879,0.120062
ffn#2,0.11165,0.099012,0.791442,0.958962,0.148149,0.11165
L-En,0.090737,0.054425,1.114524,1.486736,0.086949,0.090737
pcr#1,0.083247,0.033901,1.272253,1.592119,0.069025,0.083247
pcr#2,0.083247,0.033901,1.272253,1.592119,0.069025,0.083247
ridge#2,0.071481,0.091634,0.971059,1.304715,0.072418,0.071481
ridge#1,0.07101,0.090222,0.973731,1.312978,0.071639,0.07101
lasso#2,0.066587,0.028783,1.12333,1.578394,0.065051,0.066587
lasso#1,0.066221,0.028462,1.124627,1.583106,0.064689,0.066221
elasticnet#2,0.061585,0.026126,1.168875,1.691314,0.059526,0.061585
elasticnet#1,0.060357,0.026394,1.195004,1.730817,0.057919,0.060357
