model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_dart#2,0.134292,0.106004,1.692364,1.722591,0.161976,0.134292
pls#2,0.126142,0.095394,1.565948,1.875328,0.155275,0.126142
ridge#2,0.122748,0.094778,2.180452,1.923566,0.11876,0.122748
rf#1,0.122408,0.10526,1.487137,1.689069,0.136562,0.122408
pls#1,0.121924,0.080233,1.503555,1.937559,0.155001,0.121924
ridge#1,0.121314,0.092943,2.196449,1.929625,0.117862,0.121314
rf#2,0.117477,0.090599,1.693081,1.75925,0.140594,0.117477
lgbm_gbdt#2,0.115447,0.095645,1.486387,1.64892,0.149197,0.115447
lgbm_dart#1,0.115423,0.087898,1.751546,1.709673,0.141918,0.115423
N-En,0.114415,0.091558,1.699158,1.851158,0.142225,0.114415
lgbm_gbdt#1,0.108452,0.097,1.348581,1.572635,0.154067,0.108452
ffn#1,0.098681,0.078764,1.696886,1.968389,0.12404,0.098681
L-En,0.09249,0.052684,2.205705,2.041678,0.106149,0.09249
pcr#2,0.074925,0.032081,2.207983,2.104037,0.087293,0.074925
pcr#1,0.074923,0.03208,2.207991,2.104039,0.08729,0.074923
ffn#2,0.05808,0.046096,1.88121,2.033053,0.080352,0.05808
elasticnet#1,0.057099,0.022291,2.232256,2.147859,0.069408,0.057099
elasticnet#2,0.050028,0.019706,2.274506,2.152932,0.060024,0.050028
lasso#2,0.048669,0.018446,2.254041,2.153919,0.058983,0.048669
lasso#1,0.047387,0.017999,2.263593,2.15582,0.057352,0.047387
